s,z_ceil_dlio,z_ceil_fastlio,dlio_minus_fastlio
179.0,223.232,234.060,-10.827
180.0,223.233,233.593,-10.360
181.0,223.367,233.049,-9.682
182.0,223.434,232.556,-9.122
183.0,223.592,232.451,-8.859
184.0,223.963,235.083,-11.119
185.0,224.415,235.367,-10.952
186.0,224.781,236.144,-11.363
187.0,224.979,236.621,-11.643
188.0,225.249,236.752,-11.503
189.0,225.278,236.726,-11.448
190.0,225.482,236.712,-11.231
191.0,225.659,236.643,-10.984
192.0,225.943,236.652,-10.709
193.0,225.892,236.693,-10.801
194.0,225.850,236.797,-10.948
195.0,225.729,236.971,-11.242
196.0,225.914,236.867,-10.954
197.0,225.747,236.761,-11.014
198.0,225.015,236.703,-11.688
199.0,224.864,236.672,-11.808
200.0,224.908,236.603,-11.694
201.0,224.672,236.528,-11.856
202.0,223.635,236.462,-12.827
203.0,223.416,236.283,-12.867
204.0,223.137,236.135,-12.998
205.0,222.626,235.985,-13.360
206.0,221.994,235.828,-13.833
207.0,221.530,235.728,-14.199
208.0,221.054,235.653,-14.598
209.0,220.602,235.584,-14.982
210.0,220.288,235.359,-15.071
211.0,219.740,235.033,-15.292
212.0,219.223,234.784,-15.561
213.0,218.529,234.456,-15.927
214.0,217.878,234.305,-16.427
215.0,217.697,234.243,-16.546
216.0,217.446,234.090,-16.644
217.0,217.123,233.986,-16.862
218.0,216.768,233.927,-17.158
219.0,216.209,,
220.0,215.983,,
221.0,215.909,,
222.0,215.761,,
223.0,215.532,,
224.0,215.317,,
225.0,214.927,,
226.0,214.755,,
227.0,214.681,,
228.0,214.543,,
229.0,214.273,,
230.0,214.149,,
231.0,214.858,,
232.0,214.859,,
233.0,214.620,,
234.0,214.312,,
235.0,213.682,,
236.0,213.555,,
237.0,212.999,,
238.0,213.512,,
239.0,213.293,,
240.0,213.819,,
241.0,213.763,,
242.0,213.724,234.351,-20.627
243.0,213.922,234.836,-20.913
244.0,214.078,236.627,-22.549
245.0,214.194,236.639,-22.445
246.0,214.085,236.636,-22.550
247.0,213.852,236.746,-22.895
248.0,213.605,237.228,-23.624
249.0,213.577,238.037,-24.460
250.0,213.206,238.318,-25.111
251.0,212.748,238.417,-25.668
252.0,212.373,238.479,-26.107
253.0,211.962,238.622,-26.660
254.0,212.573,238.770,-26.197
255.0,210.905,238.832,-27.927
256.0,210.208,238.838,-28.629
257.0,209.601,238.837,-29.235
258.0,209.286,238.825,-29.538
259.0,208.828,238.790,-29.961
260.0,208.302,238.759,-30.456
261.0,207.839,238.747,-30.907
262.0,207.257,238.716,-31.460
263.0,206.308,238.659,-32.351
264.0,205.640,238.581,-32.940
265.0,204.641,238.459,-33.818
266.0,203.988,238.236,-34.249
267.0,203.276,238.070,-34.794
268.0,201.240,237.920,-36.679
269.0,197.581,237.815,-40.233
270.0,200.711,237.717,-37.006
271.0,200.298,237.694,-37.396
272.0,199.924,237.661,-37.737
273.0,199.337,237.622,-38.286
274.0,198.548,237.553,-39.005
275.0,197.893,237.462,-39.569
276.0,197.164,237.294,-40.130
277.0,196.599,237.117,-40.518
278.0,196.042,236.753,-40.711
279.0,195.384,236.519,-41.134
280.0,195.165,236.267,-41.102
281.0,194.735,235.887,-41.151
282.0,194.317,235.382,-41.066
283.0,193.825,234.858,-41.034
284.0,193.413,233.762,-40.349
285.0,193.043,232.507,-39.463
286.0,192.616,230.174,-37.558
287.0,192.159,230.341,-38.182
288.0,191.764,231.179,-39.415
289.0,191.481,232.625,-41.144
290.0,191.472,232.916,-41.443
291.0,191.226,232.877,-41.651
292.0,191.349,232.389,-41.040
293.0,192.324,230.503,-38.179
294.0,192.339,230.040,-37.701
295.0,192.127,230.064,-37.937
296.0,191.806,230.861,-39.055
297.0,191.365,231.023,-39.658
298.0,190.723,230.969,-40.246
299.0,190.021,230.521,-40.500
300.0,190.110,230.265,-40.155
301.0,189.888,230.394,-40.506
302.0,189.366,230.512,-41.146
303.0,188.905,,
304.0,188.517,,
305.0,188.111,,
306.0,187.399,,
307.0,186.841,,
308.0,185.368,,
309.0,184.831,,
310.0,184.221,,
311.0,183.857,,
312.0,183.736,,
313.0,183.358,,
314.0,183.078,229.183,-46.105
315.0,182.675,233.344,-50.668
316.0,182.266,233.745,-51.479
317.0,181.386,234.345,-52.959
318.0,181.451,234.631,-53.180
319.0,181.237,234.908,-53.671
320.0,180.986,235.130,-54.145
321.0,180.638,235.362,-54.724
322.0,180.365,235.674,-55.309
323.0,180.153,235.942,-55.788
324.0,179.910,235.984,-56.073
325.0,179.596,236.011,-56.414
326.0,179.285,236.055,-56.770
327.0,176.833,236.170,-59.337
328.0,178.211,236.153,-57.942
329.0,177.764,236.041,-58.277
330.0,177.458,235.959,-58.501
331.0,177.171,235.946,-58.775
332.0,176.600,235.816,-59.216
333.0,176.257,235.040,-58.783
334.0,175.765,234.702,-58.937
335.0,174.992,234.743,-59.751
336.0,174.187,234.885,-60.698
337.0,173.930,234.992,-61.062
338.0,172.410,235.127,-62.717
