s,x,y,z,tx,ty,tz
282.0,1336.3165,808.4564,189.4746,-0.6419,0.5584,-0.5255
283.0,1335.7077,808.9915,188.9852,-0.6438,0.5722,-0.5080
284.0,1335.1001,809.5380,188.5150,-0.6449,0.5874,-0.4890
285.0,1334.4944,810.0972,188.0655,-0.6451,0.6039,-0.4682
286.0,1333.8912,810.6702,187.6377,-0.6445,0.6207,-0.4465
287.0,1333.2905,811.2558,187.2308,-0.6441,0.6348,-0.4268
288.0,1332.6921,811.8510,186.8424,-0.6440,0.6461,-0.4096
289.0,1332.0959,812.4532,186.4704,-0.6446,0.6547,-0.3948
290.0,1331.5015,813.0594,186.1124,-0.6458,0.6608,-0.3826
291.0,1330.9088,813.6668,185.7664,-0.6477,0.6643,-0.3730
292.0,1330.3176,814.2725,185.4299,-0.6506,0.6653,-0.3662
293.0,1329.7275,814.8738,185.1008,-0.6544,0.6639,-0.3621
294.0,1329.1385,815.4677,184.7767,-0.6591,0.6599,-0.3608
295.0,1328.5502,816.0515,184.4556,-0.6648,0.6532,-0.3624
296.0,1327.9624,816.6222,184.1350,-0.6715,0.6438,-0.3669
297.0,1327.3750,817.1771,183.8128,-0.6791,0.6314,-0.3744
298.0,1326.7877,817.7133,183.4868,-0.6876,0.6157,-0.3849
299.0,1326.2002,818.2280,183.1545,-0.6968,0.5964,-0.3985
300.0,1325.6123,818.7182,182.8139,-0.7065,0.5732,-0.4151
301.0,1325.0238,819.1821,182.4634,-0.7162,0.5479,-0.4322
302.0,1324.4339,819.6197,182.1033,-0.7259,0.5220,-0.4479
303.0,1323.8420,820.0321,181.7346,-0.7354,0.4958,-0.4620
304.0,1323.2471,820.4200,181.3582,-0.7447,0.4693,-0.4745
305.0,1322.6487,820.7841,180.9748,-0.7540,0.4427,-0.4853
306.0,1322.0460,821.1254,180.5855,-0.7631,0.4163,-0.4944
307.0,1321.4383,821.4446,180.1911,-0.7721,0.3900,-0.5017
308.0,1320.8247,821.7424,179.7924,-0.7811,0.3641,-0.5073
309.0,1320.2046,822.0198,179.3904,-0.7900,0.3388,-0.5111
310.0,1319.5773,822.2775,178.9858,-0.7988,0.3140,-0.5131
311.0,1318.9419,822.5164,178.5797,-0.8076,0.2900,-0.5135
312.0,1318.2978,822.7372,178.1728,-0.8164,0.2668,-0.5122
313.0,1317.6442,822.9407,177.7660,-0.8252,0.2445,-0.5092
314.0,1316.9804,823.1278,177.3603,-0.8340,0.2232,-0.5047
315.0,1316.3056,823.2992,176.9564,-0.8427,0.2029,-0.4986
316.0,1315.6192,823.4558,176.5553,-0.8515,0.1837,-0.4911
317.0,1314.9203,823.5983,176.1579,-0.8603,0.1656,-0.4822
318.0,1314.2082,823.7277,175.7650,-0.8690,0.1487,-0.4719
319.0,1313.4822,823.8446,175.3775,-0.8777,0.1328,-0.4603
320.0,1312.7415,823.9499,174.9962,-0.8864,0.1182,-0.4476
321.0,1311.9855,824.0443,174.6221,-0.8950,0.1047,-0.4337
322.0,1311.2134,824.1288,174.2560,-0.9034,0.0923,-0.4188
323.0,1310.4243,824.2041,173.8988,-0.9117,0.0811,-0.4028
324.0,1309.6177,824.2710,173.5514,-0.9198,0.0710,-0.3859
325.0,1308.7927,824.3303,173.2147,-0.9277,0.0620,-0.3682
326.0,1307.9487,824.3828,172.8895,-0.9353,0.0541,-0.3496
327.0,1307.0848,824.4293,172.5766,-0.9427,0.0473,-0.3304
328.0,1306.2004,824.4707,172.2771,-0.9497,0.0414,-0.3105
329.0,1305.2947,824.5077,171.9917,-0.9563,0.0366,-0.2900
330.0,1304.3669,824.5411,171.7214,-0.9626,0.0327,-0.2691
331.0,1303.4164,824.5718,171.4670,-0.9684,0.0298,-0.2478
332.0,1302.4423,824.6006,171.2293,-0.9737,0.0277,-0.2261
333.0,1301.4441,824.6282,171.0094,-0.9786,0.0265,-0.2042
334.0,1300.4208,824.6555,170.8079,-0.9829,0.0260,-0.1820
335.0,1299.3718,824.6833,170.6259,-0.9868,0.0263,-0.1598
336.0,1298.2963,824.7123,170.4642,-0.9901,0.0272,-0.1376
337.0,1297.1937,824.7434,170.3236,-0.9929,0.0288,-0.1153
338.0,1296.0631,824.7775,170.2051,-0.9952,0.0311,-0.0932
