s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
101.0000,1386.4587,671.4784,238.2433,-0.3110,0.9483,-0.0630,44.3212,0.9444,15.8396,6.9491,2.5474,7.5121,235.3273,243.2389,12246
102.0000,1386.2042,672.2398,238.1797,-0.3207,0.9424,-0.0952,44.7714,0.9444,16.2537,6.7821,2.6826,7.5501,235.4649,242.8686,12578
103.0000,1385.9416,672.9985,238.0902,-0.3295,0.9357,-0.1258,38.5195,0.9028,15.8137,6.4976,2.6030,7.0032,235.5343,242.5099,12765
104.0000,1385.6706,673.7552,237.9767,-0.3381,0.9286,-0.1532,36.6094,0.9167,14.5791,6.1866,2.6408,6.8273,235.5364,242.1511,11435
105.0000,1385.3910,674.5107,237.8415,-0.3464,0.9212,-0.1774,32.7686,0.8611,14.6748,6.8185,2.5548,6.4593,235.4307,243.0577,11106
106.0000,1385.1026,675.2657,237.6866,-0.3545,0.9138,-0.1984,29.3133,0.8750,14.0198,7.2330,2.3501,6.1092,235.3078,243.1067,11942
107.0000,1384.8051,676.0212,237.5143,-0.3624,0.9066,-0.2162,30.8802,0.9167,13.6982,7.3703,2.2095,6.2704,235.2204,242.9868,13137
108.0000,1384.4982,676.7777,237.3268,-0.3702,0.8998,-0.2309,17.2004,1.0000,13.1734,7.2994,1.9522,4.6798,235.1267,242.7865,15095
109.0000,1384.1817,677.5362,237.1263,-0.3780,0.8935,-0.2426,34.8777,1.0000,12.5354,7.2091,1.7740,6.6639,234.8753,243.0318,15902
110.0000,1383.8553,678.2975,236.9150,-0.3857,0.8877,-0.2514,39.4320,1.0000,11.9619,7.3097,1.7764,7.0856,234.6349,243.0464,13993
111.0000,1383.5188,679.0622,236.6949,-0.3933,0.8826,-0.2574,37.5241,0.9722,11.0807,5.7768,1.8538,6.9121,234.3491,240.5549,12178
112.0000,1383.1718,679.8313,236.4685,-0.4010,0.8782,-0.2606,39.3613,1.0000,10.6184,5.8507,1.8240,7.0793,234.0996,240.1972,12458
113.0000,1382.8141,680.6055,236.2377,-0.4086,0.8745,-0.2613,33.5270,1.0000,10.4412,6.0044,1.6690,6.5336,233.8185,240.1485,13914
114.0000,1382.4456,681.3856,236.0049,-0.4163,0.8715,-0.2594,36.1556,1.0000,10.1186,6.3880,1.5779,6.7849,233.2896,240.1004,13995
115.0000,1382.0658,682.1723,235.7722,-0.4239,0.8691,-0.2550,30.4639,1.0000,9.9603,6.8311,1.5260,6.2280,232.9309,240.0461,12878
116.0000,1381.6745,682.9665,235.5418,-0.4314,0.8673,-0.2483,25.0262,1.0000,10.2584,7.1244,1.4185,5.6449,232.5599,239.9102,13606
117.0000,1381.2715,683.7690,235.3159,-0.4389,0.8661,-0.2393,28.5400,1.0000,10.2343,7.1719,1.3870,6.0281,232.3166,240.0217,14816
118.0000,1380.8566,684.5806,235.0967,-0.4463,0.8653,-0.2281,42.3728,1.0000,10.1432,7.6192,1.3895,7.3451,231.8065,239.9769,13881
119.0000,1380.4294,685.4019,234.8863,-0.4536,0.8650,-0.2147,60.0731,1.0000,10.3335,7.8344,1.5794,8.7457,231.6555,239.6307,11655
120.0000,1379.9897,686.2339,234.6870,-0.4606,0.8649,-0.1993,55.8415,0.9722,10.8605,7.8390,1.7637,8.4321,231.3648,239.4321,10796
121.0000,1379.5372,687.0774,234.5009,-0.4674,0.8651,-0.1821,58.1153,1.0000,11.5406,7.5671,1.7340,8.6020,231.2845,238.9744,11399
122.0000,1379.0722,687.9322,234.3295,-0.4735,0.8652,-0.1653,60.0040,1.0000,11.5564,7.2980,1.7644,8.7407,231.4054,238.8808,11641
123.0000,1378.5964,688.7969,234.1719,-0.4785,0.8651,-0.1503,59.0372,1.0000,11.6026,7.0058,1.7719,8.6700,231.6853,238.9115,11711
124.0000,1378.1116,689.6693,234.0273,-0.4828,0.8650,-0.1367,46.5338,1.0000,11.6354,7.1395,1.6977,7.6973,231.4956,238.7796,12456
125.0000,1377.6196,690.5476,233.8948,-0.4862,0.8649,-0.1246,43.2948,1.0000,11.7694,7.1782,1.6065,7.4246,231.3674,238.7723,13708
126.0000,1377.1222,691.4298,233.7733,-0.4890,0.8649,-0.1138,9.9164,1.0000,11.2411,7.3328,1.6032,3.5533,231.1957,238.0148,13601
127.0000,1376.6212,692.3139,233.6620,-0.4910,0.8649,-0.1042,19.3392,1.0000,11.0506,7.6002,1.5542,4.9622,230.8295,238.2769,13099
128.0000,1376.1185,693.1981,233.5599,-0.4925,0.8650,-0.0958,8.7887,1.0000,10.9756,7.6530,1.4102,3.3452,230.5956,234.2215,15750
129.0000,1375.6158,694.0802,233.4660,-0.4933,0.8653,-0.0885,10.8121,1.0000,11.0907,7.9491,1.3784,3.7103,230.2257,234.0678,16414
130.0000,1375.1151,694.9585,233.3794,-0.4936,0.8658,-0.0823,8.0276,1.0000,11.1234,7.8944,1.4727,3.1970,229.7671,233.6782,14882
131.0000,1374.6180,695.8309,233.2992,-0.4933,0.8664,-0.0772,10.1758,1.0000,10.2337,8.3230,1.3789,3.5995,229.0646,232.9870,14079
132.0000,1374.1264,696.6954,233.2244,-0.4923,0.8673,-0.0731,45.0683,1.0000,9.8978,8.3932,1.2751,7.5751,228.7705,238.6428,14078
133.0000,1373.6422,697.5502,233.1540,-0.4908,0.8685,-0.0700,54.7525,1.0000,10.0407,8.4970,1.4147,8.3494,228.5421,237.4964,12408
134.0000,1373.1672,698.3933,233.0872,-0.4886,0.8699,-0.0680,54.7748,1.0000,9.5883,8.3551,1.3194,8.3511,228.7684,237.4335,11909
135.0000,1372.7031,699.2227,233.0229,-0.4857,0.8716,-0.0671,50.8876,1.0000,9.4389,7.9669,1.3588,8.0494,228.7738,236.9600,11952
136.0000,1372.2517,700.0364,232.9602,-0.4820,0.8736,-0.0674,47.7455,1.0000,9.4670,8.1963,1.2590,7.7969,228.6954,237.4269,12859
137.0000,1371.8150,700.8326,232.8982,-0.4774,0.8760,-0.0690,48.3019,1.0000,8.9278,8.4893,1.1618,7.8422,228.8016,237.9071,14170
138.0000,1371.3948,701.6092,232.8360,-0.4719,0.8787,-0.0719,51.9891,1.0000,8.8865,8.5784,1.2056,8.1360,228.7988,237.8443,13356
139.0000,1370.9925,702.3646,232.7726,-0.4654,0.8819,-0.0758,53.6273,1.0000,8.6024,8.6147,1.1159,8.2632,228.7371,237.7081,12728
140.0000,1370.6084,703.0995,232.7081,-0.4581,0.8853,-0.0793,54.7520,1.0000,8.5372,8.7260,1.0946,8.3494,228.6819,237.5801,12958
141.0000,1370.2417,703.8157,232.6428,-0.4502,0.8891,-0.0824,55.8204,1.0000,8.7667,8.6965,1.1337,8.4305,228.7121,237.8827,12890
142.0000,1369.8918,704.5150,232.5770,-0.4415,0.8932,-0.0851,58.4995,1.0000,9.5087,8.8580,1.1892,8.6304,228.4682,237.8196,13594
143.0000,1369.5578,705.1992,232.5112,-0.4322,0.8976,-0.0871,61.8031,1.0000,10.1412,8.8213,1.2670,8.8708,228.4969,237.7578,14362
144.0000,1369.2392,705.8704,232.4457,-0.4221,0.9022,-0.0885,63.0947,1.0000,10.2586,8.7133,1.2743,8.9630,228.6381,237.8754,13802
145.0000,1368.9352,706.5301,232.3808,-0.4114,0.9071,-0.0892,66.9639,1.0000,10.5829,8.8784,1.2799,9.2337,228.5038,237.8071,12990
146.0000,1368.6450,707.1804,232.3170,-0.4001,0.9121,-0.0892,70.5368,0.9861,10.9249,9.3063,1.2913,9.4768,227.9946,237.7741,13599
147.0000,1368.3681,707.8230,232.2545,-0.3882,0.9173,-0.0884,74.2167,1.0000,11.2801,9.8193,1.2425,9.7209,227.5589,237.7401,15394
148.0000,1368.1036,708.4599,232.1938,-0.3758,0.9226,-0.0868,75.4269,1.0000,11.7599,9.9620,1.2594,9.7998,227.4679,237.9669,16275
149.0000,1367.8509,709.0927,232.1352,-0.3630,0.9280,-0.0843,76.5138,1.0000,12.0051,9.8612,1.3211,9.8702,227.6583,237.9305,15596
150.0000,1367.6093,709.7235,232.0791,-0.3499,0.9333,-0.0810,77.4218,1.0000,12.1722,9.8805,1.3621,9.9286,227.5663,237.8830,14978
151.0000,1367.3781,710.3539,232.0259,-0.3366,0.9385,-0.0769,78.4078,1.0000,12.4787,10.0393,1.3908,9.9916,227.4629,237.8302,14796
152.0000,1367.1565,710.9860,231.9758,-0.3232,0.9436,-0.0720,79.5225,1.0000,12.7140,9.8868,1.5128,10.0624,227.5392,237.7693,14095
153.0000,1366.9439,711.6214,231.9294,-0.3099,0.9485,-0.0663,78.9985,1.0000,12.8335,9.6299,1.5769,10.0292,227.6670,237.6109,14231
154.0000,1366.7395,712.2621,231.8869,-0.2967,0.9531,-0.0598,80.3868,1.0000,12.8115,9.5810,1.5317,10.1169,227.5534,237.4604,14183
155.0000,1366.5427,712.9098,231.8486,-0.2838,0.9574,-0.0528,77.2654,1.0000,12.5883,9.8545,1.4500,9.9185,227.2065,237.3557,13838
156.0000,1366.3528,713.5665,231.8151,-0.2714,0.9614,-0.0452,76.3300,1.0000,12.1040,10.0158,1.3847,9.8583,226.9813,237.3234,13559
157.0000,1366.1689,714.2340,231.7866,-0.2594,0.9651,-0.0371,75.8937,1.0000,11.9573,9.9005,1.3767,9.8301,227.0856,237.1216,13391
158.0000,1365.9905,714.9141,231.7635,-0.2480,0.9683,-0.0286,72.8157,1.0000,11.8644,9.4350,1.4395,9.6287,227.5622,237.1386,13202
159.0000,1365.8169,715.6086,231.7461,-0.2372,0.9713,-0.0198,69.3611,1.0000,11.5518,9.1007,1.4222,9.3975,227.9035,237.1847,13381
160.0000,1365.6472,716.3194,231.7349,-0.2271,0.9738,-0.0110,64.6797,1.0000,10.3514,8.7116,1.3107,9.0748,228.2736,237.8387,13009
161.0000,1365.4817,717.0472,231.7298,-0.2163,0.9763,-0.0028,58.9167,1.0000,9.5361,8.6693,1.2115,8.6611,228.2584,237.8339,13413
162.0000,1365.3215,717.7912,231.7305,-0.2047,0.9788,0.0045,57.8474,1.0000,9.4182,8.6849,1.2053,8.5822,228.0912,237.0190,13288
163.0000,1365.1677,718.5504,231.7365,-0.1922,0.9813,0.0109,58.5384,1.0000,9.4050,8.8178,1.2353,8.6333,227.9404,237.0051,12823
164.0000,1365.0216,719.3239,231.7474,-0.1787,0.9838,0.0167,58.8136,1.0000,9.5362,8.8925,1.3066,8.6535,227.9406,237.1062,12553
165.0000,1364.8845,720.1108,231.7628,-0.1644,0.9862,0.0217,60.2955,1.0000,10.5321,8.9572,1.4069,8.7619,227.9832,237.2317,11856
166.0000,1364.7575,720.9101,231.7822,-0.1491,0.9885,0.0262,61.9984,1.0000,10.6829,8.9883,1.3415,8.8848,227.9649,237.2495,12043
167.0000,1364.6419,721.7210,231.8053,-0.1329,0.9907,0.0300,61.6703,1.0000,10.6042,8.8251,1.2865,8.8612,228.1282,237.1234,12654
