body,feature_id,lat,lon_east_0_360,aperture_long_axis_m,aperture_short_axis_m,inner_long_axis_m,inner_short_axis_m,depth_m,depth_is_minimum,type,source,source_detail,notes
moon,Adams B 3,-31.2886,65.7523,38.0,17.0,14.0,,2.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Adams B; long_axis_azimuth_deg=135; depth_raw=2
moon,Aristarchus 1,23.8889,312.3506,31.0,16.0,27.0,10.0,13.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=95; depth_raw=13
moon,Aristarchus 2a,23.873,312.3029,22.0,18.0,19.0,16.0,5.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=35; depth_raw=5
moon,Aristarchus 2b,23.8726,312.3053,22.0,13.0,13.0,7.0,14.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=165; depth_raw=14
moon,Aristarchus 2c,23.8716,312.3098,38.0,35.0,22.0,16.0,14.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=145; depth_raw=14
moon,Aristarchus 3a,23.9331,312.4076,30.0,25.0,25.0,18.0,13.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=50; depth_raw=13
moon,Aristarchus 3b,23.9339,312.4084,23.0,18.0,18.0,8.0,10.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=60; depth_raw=10
moon,Aristarchus 3c,23.9344,312.407,39.0,17.0,16.0,8.0,6.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; type_qualifier=Uncertain; long_axis_azimuth_deg=45; depth_raw=6
moon,Aristarchus 4,23.914,312.3913,39.0,33.0,23.0,22.0,8.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=50; depth_raw=8
moon,Aristarchus 5,23.5984,312.4196,30.0,16.0,21.0,7.0,17.0,yes,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=75; depth_raw=>17
moon,Aristarchus 6,23.4657,312.4235,24.0,18.0,12.0,7.0,11.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=120; depth_raw=11
moon,Aristarchus 7a,23.4536,312.3967,20.0,16.0,16.0,11.0,7.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=45; depth_raw=7
moon,Aristarchus 7b,23.4532,312.3957,30.0,27.0,24.0,12.0,5.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; type_qualifier=Uncertain; long_axis_azimuth_deg=85; depth_raw=5
moon,Aristarchus 8,23.9091,312.3992,36.0,30.0,28.0,23.0,7.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=5; depth_raw=7
moon,Aristarchus 9,23.8631,312.315,25.0,23.0,17.0,10.0,7.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristarchus; long_axis_azimuth_deg=15; depth_raw=7
moon,Aristillus 1,33.6622,0.7149,20.0,20.0,11.0,10.0,11.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristillus; long_axis_azimuth_deg=100; depth_raw=11
moon,Aristillus 2,33.5874,1.019,30.0,36.0,16.0,9.0,14.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristillus; long_axis_azimuth_deg=45; depth_raw=14
moon,Aristillus 3,33.5169,0.9128,51.0,34.0,33.0,19.0,8.0,,pit (impact melt),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Aristillus; long_axis_azimuth_deg=40; depth_raw=8
