s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
211.0,1370.162,757.063,nan,219.740,nan,0.532,9.03,1.00,0.000,no_dem
212.0,1369.824,757.889,nan,219.223,nan,0.532,8.48,1.00,0.000,no_dem
213.0,1369.461,758.710,nan,218.529,nan,0.532,7.75,1.00,0.000,no_dem
214.0,1369.075,759.527,nan,217.878,nan,0.532,7.81,1.00,0.000,no_dem
215.0,1368.669,760.341,nan,217.697,nan,0.532,7.80,1.00,0.000,no_dem
216.0,1368.246,761.152,nan,217.446,nan,0.532,7.80,1.00,0.000,no_dem
217.0,1367.810,761.961,nan,217.123,nan,0.532,8.13,1.00,0.000,no_dem
218.0,1367.362,762.769,nan,216.768,nan,0.532,8.11,1.00,0.000,no_dem
219.0,1366.905,763.577,nan,216.209,nan,0.532,7.59,1.00,0.000,no_dem
220.0,1366.441,764.385,nan,215.983,nan,0.532,7.18,0.99,0.000,no_dem
221.0,1365.971,765.196,nan,215.909,nan,0.532,7.59,0.99,0.000,no_dem
222.0,1365.496,766.009,nan,215.761,nan,0.532,8.79,0.99,0.000,no_dem
223.0,1365.018,766.825,nan,215.532,nan,0.532,9.37,0.99,0.000,no_dem
224.0,1364.539,767.645,nan,215.317,nan,0.532,9.69,0.99,0.000,no_dem
225.0,1364.060,768.472,nan,214.927,nan,0.532,10.00,1.00,0.000,no_dem
226.0,1363.582,769.304,nan,214.755,nan,0.532,10.50,1.00,0.000,no_dem
227.0,1363.107,770.144,nan,214.681,nan,0.532,11.27,1.00,0.000,no_dem
228.0,1362.637,770.992,nan,214.543,nan,0.532,11.23,1.00,0.000,no_dem
229.0,1362.172,771.849,nan,214.273,nan,0.532,11.09,1.00,0.000,no_dem
230.0,1361.715,772.715,nan,214.149,nan,0.532,10.41,1.00,0.000,no_dem
231.0,1361.263,773.590,nan,214.858,nan,0.532,9.51,1.00,0.000,no_dem
232.0,1360.818,774.471,nan,214.859,nan,0.532,9.21,1.00,0.000,no_dem
233.0,1360.379,775.358,nan,214.620,nan,0.532,8.72,1.00,0.000,no_dem
234.0,1359.944,776.249,nan,214.312,nan,0.532,8.78,1.00,0.000,no_dem
235.0,1359.514,777.143,nan,213.682,nan,0.532,8.84,1.00,0.000,no_dem
236.0,1359.088,778.038,nan,213.555,nan,0.532,9.17,1.00,0.000,no_dem
237.0,1358.665,778.934,nan,212.999,nan,0.532,9.40,1.00,0.000,no_dem
238.0,1358.246,779.828,nan,213.512,nan,0.532,9.95,1.00,0.000,no_dem
239.0,1357.829,780.720,nan,213.293,nan,0.532,10.05,1.00,0.000,no_dem
240.0,1357.413,781.607,nan,213.819,nan,0.532,10.03,1.00,0.000,no_dem
241.0,1356.999,782.489,nan,213.763,nan,0.532,9.97,1.00,0.000,no_dem
242.0,1356.586,783.365,nan,213.724,nan,0.532,10.34,1.00,0.000,no_dem
243.0,1356.174,784.232,nan,213.922,nan,0.532,10.36,1.00,0.000,no_dem
244.0,1355.761,785.090,nan,214.078,nan,0.532,10.13,1.00,0.000,no_dem
245.0,1355.348,785.938,nan,214.194,nan,0.532,10.00,1.00,0.000,no_dem
246.0,1354.934,786.773,nan,214.085,nan,0.532,10.80,1.00,0.000,no_dem
247.0,1354.517,787.595,nan,213.852,nan,0.532,10.88,1.00,0.000,no_dem
248.0,1354.099,788.401,nan,213.605,nan,0.532,10.97,1.00,0.000,no_dem
249.0,1353.678,789.192,nan,213.577,nan,0.532,10.71,1.00,0.000,no_dem
250.0,1353.255,789.967,nan,213.206,nan,0.532,10.34,1.00,0.000,no_dem
251.0,1352.827,790.726,nan,212.748,nan,0.532,10.02,1.00,0.000,no_dem
252.0,1352.396,791.468,nan,212.373,nan,0.532,9.97,1.00,0.000,no_dem
253.0,1351.960,792.196,nan,211.962,nan,0.532,10.19,1.00,0.000,no_dem
254.0,1351.520,792.907,nan,212.573,nan,0.532,10.19,1.00,0.000,no_dem
255.0,1351.074,793.604,nan,210.905,nan,0.532,10.50,1.00,0.000,no_dem
256.0,1350.622,794.286,nan,210.208,nan,0.532,10.82,1.00,0.000,no_dem
257.0,1350.165,794.954,nan,209.601,nan,0.532,10.88,1.00,0.000,no_dem
258.0,1349.700,795.607,nan,209.286,nan,0.532,10.53,1.00,0.000,no_dem
259.0,1349.229,796.246,nan,208.828,nan,0.532,10.34,1.00,0.000,no_dem
260.0,1348.751,796.871,nan,208.302,nan,0.532,9.82,1.00,0.000,no_dem
261.0,1348.265,797.482,nan,207.839,nan,0.532,9.55,1.00,0.000,no_dem
262.0,1347.770,798.080,nan,207.257,nan,0.532,9.38,1.00,0.000,no_dem
263.0,1347.267,798.665,nan,206.308,nan,0.532,9.69,1.00,0.000,no_dem
264.0,1346.755,799.237,nan,205.640,nan,0.532,10.08,1.00,0.000,no_dem
265.0,1346.233,799.797,nan,204.641,nan,0.532,10.65,1.00,0.000,no_dem
266.0,1345.701,800.344,nan,203.988,nan,0.532,10.02,1.00,0.000,no_dem
267.0,1345.160,800.880,nan,203.276,nan,0.532,9.65,1.00,0.000,no_dem
268.0,1344.609,801.405,nan,201.240,nan,0.532,9.71,1.00,0.000,no_dem
269.0,1344.051,801.922,nan,197.581,nan,0.532,9.52,1.00,0.000,no_dem
270.0,1343.484,802.432,nan,200.711,nan,0.532,9.56,1.00,0.000,no_dem
271.0,1342.911,802.935,nan,200.298,nan,0.532,9.34,1.00,0.000,no_dem
272.0,1342.331,803.434,nan,199.924,nan,0.532,9.30,1.00,0.000,no_dem
273.0,1341.745,803.929,nan,199.337,nan,0.532,8.90,1.00,0.000,no_dem
274.0,1341.154,804.423,nan,198.548,nan,0.532,8.53,1.00,0.000,no_dem
275.0,1340.558,804.915,nan,197.893,nan,0.532,8.16,1.00,0.000,no_dem
276.0,1339.959,805.409,nan,197.164,nan,0.532,7.83,1.00,0.000,no_dem
277.0,1339.356,805.904,nan,196.599,nan,0.532,7.43,1.00,0.000,no_dem
278.0,1338.751,806.402,nan,196.042,nan,0.532,7.29,1.00,0.000,no_dem
279.0,1338.144,806.905,nan,195.384,nan,0.532,7.17,1.00,0.000,no_dem
280.0,1337.535,807.415,nan,195.165,nan,0.532,7.45,1.00,0.000,no_dem
281.0,1336.926,807.931,nan,194.735,nan,0.532,7.95,1.00,0.000,no_dem
282.0,1336.316,808.456,nan,194.317,nan,0.532,8.43,1.00,0.000,no_dem
283.0,1335.708,808.991,nan,193.825,nan,0.532,9.00,1.00,0.000,no_dem
284.0,1335.100,809.538,nan,193.413,nan,0.532,9.40,1.00,0.000,no_dem
285.0,1334.494,810.097,nan,193.043,nan,0.532,9.43,1.00,0.000,no_dem
286.0,1333.891,810.670,nan,192.616,nan,0.532,9.57,1.00,0.000,no_dem
287.0,1333.291,811.256,nan,192.159,nan,0.532,9.22,1.00,0.000,no_dem
288.0,1332.692,811.851,nan,191.764,nan,0.532,9.15,1.00,0.000,no_dem
289.0,1332.096,812.453,nan,191.481,nan,0.532,9.06,1.00,0.000,no_dem
290.0,1331.502,813.059,nan,191.472,nan,0.532,8.72,1.00,0.000,no_dem
291.0,1330.909,813.667,nan,191.226,nan,0.532,8.98,1.00,0.000,no_dem
292.0,1330.318,814.273,nan,191.349,nan,0.532,9.07,1.00,0.000,no_dem
293.0,1329.727,814.874,nan,192.324,nan,0.532,9.21,1.00,0.000,no_dem
294.0,1329.139,815.468,nan,192.339,nan,0.532,9.51,1.00,0.000,no_dem
295.0,1328.550,816.052,nan,192.127,nan,0.532,9.88,1.00,0.000,no_dem
296.0,1327.962,816.622,nan,191.806,nan,0.532,10.06,1.00,0.000,no_dem
297.0,1327.375,817.177,nan,191.365,nan,0.532,10.09,1.00,0.000,no_dem
298.0,1326.788,817.713,nan,190.723,nan,0.532,10.31,1.00,0.000,no_dem
299.0,1326.200,818.228,nan,190.021,nan,0.532,10.46,1.00,0.000,no_dem
300.0,1325.612,818.718,nan,190.110,nan,0.532,10.06,1.00,0.000,no_dem
301.0,1325.024,819.182,nan,189.888,nan,0.532,9.50,1.00,0.000,no_dem
