s,x,y,z,tx,ty,tz
165.0,1366.0673,713.4682,227.6534,-0.3373,0.9414,-0.0067
166.0,1365.7904,714.2637,227.6481,-0.3199,0.9474,-0.0058
167.0,1365.5283,715.0647,227.6436,-0.3022,0.9532,-0.0049
168.0,1365.2811,715.8706,227.6400,-0.2842,0.9588,-0.0037
169.0,1365.0494,716.6808,227.6374,-0.2659,0.9640,-0.0024
170.0,1364.8332,717.4949,227.6360,-0.2472,0.9690,-0.0009
171.0,1364.6331,718.3123,227.6359,-0.2283,0.9736,0.0008
172.0,1364.4494,719.1324,227.6374,-0.2090,0.9779,0.0026
173.0,1364.2822,719.9547,227.6404,-0.1893,0.9819,0.0047
174.0,1364.1321,720.7787,227.6452,-0.1692,0.9856,0.0069
175.0,1363.9992,721.6038,227.6520,-0.1486,0.9888,0.0093
176.0,1363.8840,722.4295,227.6609,-0.1276,0.9917,0.0119
177.0,1363.7868,723.2553,227.6719,-0.1062,0.9942,0.0147
178.0,1363.7078,724.0806,227.6854,-0.0842,0.9963,0.0177
179.0,1363.6475,724.9048,227.7014,-0.0617,0.9979,0.0210
180.0,1363.6061,725.7275,227.7200,-0.0387,0.9990,0.0244
181.0,1363.5839,726.5481,227.7415,-0.0151,0.9995,0.0280
182.0,1363.5813,727.3660,227.7660,0.0090,0.9995,0.0318
183.0,1363.5987,728.1807,227.7935,0.0337,0.9988,0.0359
184.0,1363.6363,728.9917,227.8244,0.0590,0.9975,0.0401
185.0,1363.6944,729.7985,227.8586,0.0848,0.9954,0.0446
186.0,1363.7735,730.6004,227.8965,0.1113,0.9926,0.0492
187.0,1363.8738,731.3971,227.9380,0.1383,0.9889,0.0541
188.0,1363.9954,732.1878,227.9834,0.1648,0.9846,0.0589
189.0,1364.1364,732.9729,228.0320,0.1873,0.9803,0.0625
190.0,1364.2932,733.7530,228.0828,0.2055,0.9765,0.0647
191.0,1364.4624,734.5285,228.1347,0.2192,0.9735,0.0657
192.0,1364.6405,735.3000,228.1868,0.2287,0.9713,0.0654
193.0,1364.8238,736.0683,228.2381,0.2338,0.9702,0.0638
194.0,1365.0089,736.8338,228.2873,0.2346,0.9702,0.0609
195.0,1365.1923,737.5972,228.3336,0.2310,0.9713,0.0566
196.0,1365.3704,738.3590,228.3759,0.2229,0.9735,0.0511
197.0,1365.5398,739.1199,228.4132,0.2103,0.9766,0.0441
198.0,1365.6968,739.8804,228.4443,0.1931,0.9805,0.0358
199.0,1365.8381,740.6411,228.4684,0.1711,0.9849,0.0261
200.0,1365.9600,741.4026,228.4843,0.1442,0.9894,0.0149
201.0,1366.0591,742.1656,228.4909,0.1125,0.9936,0.0023
202.0,1366.1318,742.9305,228.4874,0.0759,0.9970,-0.0117
203.0,1366.1746,743.6980,228.4726,0.0347,0.9990,-0.0270
204.0,1366.1840,744.4686,228.4455,-0.0109,0.9990,-0.0435
205.0,1366.1565,745.2430,228.4050,-0.0605,0.9963,-0.0609
206.0,1366.0886,746.0218,228.3502,-0.1133,0.9904,-0.0791
207.0,1365.9767,746.8055,228.2799,-0.1685,0.9809,-0.0977
208.0,1365.8173,747.5948,228.1932,-0.2251,0.9674,-0.1163
209.0,1365.6077,748.3901,228.0894,-0.2792,0.9510,-0.1332
210.0,1365.3499,749.1913,227.9705,-0.3260,0.9340,-0.1459
211.0,1365.0477,749.9982,227.8391,-0.3662,0.9176,-0.1548
212.0,1364.7050,750.8105,227.6981,-0.4005,0.9022,-0.1603
213.0,1364.3255,751.6278,227.5505,-0.4296,0.8882,-0.1626
214.0,1363.9132,752.4500,227.3989,-0.4542,0.8760,-0.1622
215.0,1363.4718,753.2767,227.2461,-0.4748,0.8656,-0.1591
216.0,1363.0051,754.1075,227.0951,-0.4919,0.8570,-0.1535
217.0,1362.5170,754.9423,226.9486,-0.5057,0.8503,-0.1456
218.0,1362.0113,755.7807,226.8095,-0.5165,0.8455,-0.1354
219.0,1361.4918,756.6225,226.6805,-0.5246,0.8425,-0.1228
220.0,1360.9624,757.4673,226.5646,-0.5299,0.8412,-0.1079
221.0,1360.4269,758.3149,226.4644,-0.5327,0.8415,-0.0905
222.0,1359.8890,759.1649,226.3829,-0.5328,0.8433,-0.0706
223.0,1359.3527,760.0171,226.3228,-0.5301,0.8466,-0.0481
224.0,1358.8217,760.8712,226.2869,-0.5246,0.8510,-0.0227
225.0,1358.2999,761.7269,226.2782,-0.5160,0.8565,0.0057
226.0,1357.7911,762.5839,226.2993,-0.5041,0.8628,0.0373
227.0,1357.2981,763.4419,226.3522,-0.4907,0.8686,0.0691
228.0,1356.8207,764.3008,226.4351,-0.4776,0.8730,0.0987
229.0,1356.3576,765.1602,226.5457,-0.4650,0.8763,0.1261
230.0,1355.9080,766.0201,226.6817,-0.4529,0.8787,0.1510
231.0,1355.4707,766.8802,226.8406,-0.4416,0.8803,0.1736
232.0,1355.0447,767.7404,227.0202,-0.4311,0.8813,0.1937
233.0,1354.6290,768.6003,227.2180,-0.4215,0.8818,0.2115
234.0,1354.2225,769.4598,227.4317,-0.4129,0.8821,0.2268
235.0,1353.8242,770.3188,227.6590,-0.4054,0.8822,0.2397
236.0,1353.4329,771.1770,227.8974,-0.3991,0.8821,0.2502
237.0,1353.0478,772.0342,228.1447,-0.3938,0.8821,0.2584
238.0,1352.6677,772.8902,228.3985,-0.3898,0.8822,0.2642
239.0,1352.2915,773.7448,228.6563,-0.3870,0.8823,0.2678
240.0,1351.9183,774.5979,228.9159,-0.3854,0.8827,0.2690
241.0,1351.5470,775.4491,229.1749,-0.3851,0.8832,0.2679
242.0,1351.1765,776.2984,229.4310,-0.3860,0.8838,0.2644
243.0,1350.8058,777.1455,229.6817,-0.3881,0.8846,0.2586
244.0,1350.4338,777.9902,229.9247,-0.3915,0.8855,0.2503
245.0,1350.0596,778.8323,230.1576,-0.3961,0.8864,0.2395
246.0,1349.6820,779.6716,230.3782,-0.4020,0.8873,0.2262
247.0,1349.3000,780.5079,230.5840,-0.4090,0.8880,0.2102
248.0,1348.9126,781.3410,230.7727,-0.4172,0.8884,0.1916
249.0,1348.5187,782.1708,230.9418,-0.4265,0.8883,0.1702
250.0,1348.1175,782.9969,231.0899,-0.4362,0.8876,0.1481
251.0,1347.7084,783.8191,231.2171,-0.4462,0.8860,0.1265
252.0,1347.2913,784.6370,231.3243,-0.4563,0.8836,0.1053
253.0,1346.8658,785.4504,231.4119,-0.4667,0.8804,0.0848
254.0,1346.4314,786.2588,231.4806,-0.4772,0.8764,0.0648
