s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
125.0,1382.233,680.628,238.540,235.519,3.021,1.470,10.78,1.00,0.000,intact
126.0,1381.789,681.461,238.600,235.347,3.253,1.470,10.20,1.00,0.000,intact
127.0,1381.346,682.301,238.510,235.279,3.231,1.470,10.00,1.00,0.000,intact
128.0,1380.905,683.147,238.420,235.274,3.146,1.470,10.27,1.00,0.000,intact
129.0,1380.466,683.998,238.350,235.191,3.159,1.470,10.20,1.00,0.000,intact
130.0,1380.029,684.855,238.280,235.343,2.937,1.470,10.10,1.00,0.000,intact
131.0,1379.594,685.715,238.100,234.966,3.134,1.470,10.23,1.00,0.000,intact
132.0,1379.160,686.579,237.840,234.791,3.049,1.470,11.14,0.97,0.000,intact
133.0,1378.727,687.445,237.880,234.451,3.429,1.470,11.55,1.00,0.000,intact
134.0,1378.296,688.312,237.850,234.372,3.478,1.470,11.44,0.99,0.000,intact
135.0,1377.866,689.181,237.870,234.402,3.468,1.470,11.45,1.00,0.000,intact
136.0,1377.437,690.049,237.870,234.313,3.557,1.470,11.62,1.00,0.000,intact
137.0,1377.010,690.917,237.810,234.282,3.528,1.470,11.29,1.00,0.000,intact
138.0,1376.583,691.783,237.840,233.497,4.343,1.470,10.99,1.00,0.000,intact
139.0,1376.157,692.647,237.950,233.901,4.049,1.470,11.02,1.00,0.000,intact
140.0,1375.732,693.508,237.920,233.126,4.794,1.470,11.10,1.00,0.000,intact
141.0,1375.308,694.365,237.900,232.203,5.697,1.470,11.23,1.00,0.000,intact
142.0,1374.884,695.216,237.860,229.270,8.590,1.470,11.17,1.00,0.000,intact
143.0,1374.461,696.063,237.830,228.626,9.204,1.470,10.46,1.00,0.000,intact
144.0,1374.038,696.903,237.810,232.947,4.863,1.470,9.98,1.00,0.000,intact
145.0,1373.616,697.736,237.810,233.059,4.751,1.470,10.31,1.00,0.000,intact
146.0,1373.194,698.561,237.790,232.969,4.821,1.470,10.01,1.00,0.000,intact
147.0,1372.772,699.378,237.800,232.801,4.999,1.470,9.50,1.00,0.000,intact
148.0,1372.352,700.187,237.790,232.977,4.813,1.470,9.69,1.00,0.000,intact
149.0,1371.933,700.989,237.760,233.464,4.296,1.470,9.26,1.00,0.000,intact
150.0,1371.516,701.785,237.840,233.392,4.448,1.470,8.88,1.00,0.000,intact
151.0,1371.103,702.575,237.840,233.300,4.540,1.470,8.64,1.00,0.000,intact
152.0,1370.694,703.360,237.830,233.124,4.706,1.470,8.46,1.00,0.000,intact
153.0,1370.289,704.141,237.930,233.416,4.514,1.470,8.67,1.00,0.000,intact
154.0,1369.890,704.919,237.960,233.372,4.588,1.470,9.18,1.00,0.000,intact
155.0,1369.497,705.695,237.920,233.290,4.630,1.470,10.07,1.00,0.000,intact
156.0,1369.111,706.468,237.980,233.363,4.617,1.470,10.23,1.00,0.000,intact
157.0,1368.733,707.240,238.030,233.367,4.663,1.470,10.59,0.99,0.000,intact
158.0,1368.362,708.013,238.030,233.341,4.689,1.470,11.00,1.00,0.000,intact
159.0,1368.002,708.785,238.230,233.446,4.784,1.470,11.46,1.00,0.000,intact
160.0,1367.650,709.558,238.260,233.477,4.783,1.470,11.98,1.00,0.000,intact
161.0,1367.310,710.334,238.250,233.469,4.781,1.470,12.27,1.00,0.000,intact
162.0,1366.980,711.112,238.300,233.456,4.844,1.470,12.57,1.00,0.000,intact
163.0,1366.663,711.893,238.340,233.315,5.025,1.470,12.88,1.00,0.000,intact
164.0,1366.358,712.678,238.470,233.121,5.349,1.470,12.92,1.00,0.000,intact
165.0,1366.067,713.468,238.490,232.989,5.501,1.470,12.88,1.00,0.000,intact
166.0,1365.790,714.264,238.540,232.911,5.629,1.470,12.45,1.00,0.000,intact
167.0,1365.528,715.065,238.630,232.771,5.859,1.470,12.23,1.00,0.000,intact
168.0,1365.281,715.871,238.710,232.898,5.812,1.470,11.78,1.00,0.000,intact
169.0,1365.049,716.681,238.710,233.537,5.173,1.470,10.54,1.00,0.000,intact
170.0,1364.833,717.495,238.720,233.536,5.184,1.470,9.49,1.00,0.000,intact
171.0,1364.633,718.312,238.770,232.688,6.082,1.470,9.43,1.00,0.000,intact
172.0,1364.449,719.132,238.770,232.738,6.032,1.470,9.43,1.00,0.000,intact
173.0,1364.282,719.955,238.770,232.855,5.915,1.470,9.81,1.00,0.000,intact
174.0,1364.132,720.779,238.780,232.989,5.791,1.470,10.73,1.00,0.000,intact
175.0,1363.999,721.604,238.800,232.877,5.923,1.470,10.61,1.00,0.000,intact
176.0,1363.884,722.429,238.830,232.885,5.945,1.470,10.57,1.00,0.000,intact
177.0,1363.787,723.255,238.840,232.632,6.208,1.470,10.56,1.00,0.000,intact
178.0,1363.708,724.081,238.870,232.646,6.224,1.470,10.56,1.00,0.000,intact
