s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
187.0000,1359.8942,759.1567,226.3836,-0.5328,0.8433,-0.0708,44.5889,1.0000,7.3087,8.5108,1.1524,7.5347,222.7120,231.4864,11495
188.0000,1359.3625,760.0015,226.3237,-0.5302,0.8465,-0.0485,40.4346,1.0000,6.9998,8.1256,1.1078,7.1752,222.6485,233.5052,10816
189.0000,1358.8347,760.8501,226.2875,-0.5248,0.8509,-0.0233,40.0090,1.0000,7.1455,8.1900,1.0207,7.1373,222.6002,233.3496,11338
190.0000,1358.3139,761.7036,226.2780,-0.5163,0.8564,0.0049,42.8413,1.0000,7.4970,8.5310,1.1037,7.3856,222.4549,232.2414,10905
191.0000,1357.8032,762.5631,226.2985,-0.5045,0.8627,0.0365,43.8647,1.0000,7.7168,8.6880,1.1488,7.4733,222.3124,232.6037,10010
192.0000,1357.3055,763.4288,226.3512,-0.4909,0.8685,0.0686,45.0450,1.0000,7.8305,8.5948,1.1643,7.5732,222.3655,231.1431,9653
193.0000,1356.8213,764.2996,226.4350,-0.4776,0.8730,0.0987,46.4180,1.0000,8.0448,8.8040,1.1489,7.6877,222.1734,231.1554,10126
194.0000,1356.3501,765.1744,226.5478,-0.4648,0.8764,0.1265,46.9190,1.0000,7.9156,8.7986,1.2614,7.7291,222.1510,232.7344,10280
195.0000,1355.8916,766.0520,226.6872,-0.4525,0.8787,0.1519,45.3189,1.0000,7.8691,9.1322,1.2577,7.5962,222.2701,233.2059,10570
196.0000,1355.4450,766.9316,226.8508,-0.4409,0.8804,0.1749,49.6259,1.0000,7.9211,8.6791,1.1993,7.9489,222.3676,232.9673,9998
197.0000,1355.0095,767.8125,227.0361,-0.4302,0.8813,0.1953,51.7313,0.9722,7.7913,8.9563,1.1641,8.1158,222.0840,231.9148,10171
198.0000,1354.5842,768.6942,227.2406,-0.4205,0.8819,0.2132,49.8261,0.9583,8.0874,9.0153,1.0609,7.9650,222.3633,232.0536,10750
199.0000,1354.1681,769.5762,227.4618,-0.4118,0.8821,0.2286,53.1207,1.0000,8.3846,9.2970,1.1454,8.2241,222.3859,232.9750,12239
200.0000,1353.7601,770.4583,227.6970,-0.4043,0.8822,0.2415,54.0438,1.0000,8.1820,9.6549,1.3620,8.2952,222.3863,232.6334,12707
201.0000,1353.3591,771.3405,227.9440,-0.3980,0.8821,0.2519,54.4431,1.0000,8.6275,10.5367,1.4169,8.3258,221.9170,232.6530,14378
202.0000,1352.9638,772.2226,228.2001,-0.3929,0.8821,0.2599,53.1764,1.0000,8.8757,10.7017,1.4805,8.2284,221.9647,233.3606,14019
203.0000,1352.5730,773.1047,228.4629,-0.3890,0.8822,0.2653,52.9901,1.0000,9.0257,10.3851,1.5361,8.2140,222.2046,233.6224,13231
204.0000,1352.1854,773.9870,228.7299,-0.3864,0.8824,0.2683,46.9983,1.0000,8.4153,9.8481,1.4487,7.7356,222.4868,233.3627,13504
205.0000,1351.7997,774.8696,228.9987,-0.3852,0.8828,0.2689,43.4525,1.0000,7.5020,10.1520,1.3877,7.4381,222.9225,233.2618,15535
206.0000,1351.4146,775.7527,229.2669,-0.3852,0.8834,0.2669,44.3274,1.0000,7.6931,9.1299,1.1726,7.5126,224.4245,233.7978,14348
207.0000,1351.0287,776.6364,229.5317,-0.3867,0.8841,0.2624,43.4795,1.0000,8.2436,8.7705,1.1499,7.4404,225.0984,234.0616,11993
208.0000,1350.6408,777.5210,229.7907,-0.3895,0.8850,0.2552,43.6909,1.0000,9.0673,8.5705,1.2071,7.4585,225.2098,233.9785,13170
209.0000,1350.2493,778.4064,230.0411,-0.3936,0.8859,0.2453,39.6686,1.0000,9.3341,7.6006,1.4259,7.1069,225.7190,233.8859,12411
210.0000,1349.8530,779.2929,230.2803,-0.3992,0.8869,0.2325,35.3166,1.0000,9.4177,6.5711,1.5664,6.7057,226.7757,233.6819,12202
211.0000,1349.4505,780.1802,230.5052,-0.4061,0.8877,0.2168,20.3073,1.0000,9.7374,6.4810,1.6573,5.0849,227.0287,233.7112,12753
212.0000,1349.0403,781.0682,230.7128,-0.4144,0.8883,0.1980,23.5432,1.0000,10.0275,6.5092,1.7240,5.4750,227.0985,234.5143,12529
213.0000,1348.6212,781.9566,230.9001,-0.4240,0.8884,0.1760,34.4951,1.0000,10.2937,6.3049,1.9479,6.6273,227.4533,233.9681,11453
214.0000,1348.1921,782.8448,231.0642,-0.4344,0.8878,0.1522,34.8900,1.0000,10.6977,6.4312,2.0744,6.6651,227.2888,234.0098,10961
215.0000,1347.7523,783.7318,231.2046,-0.4451,0.8862,0.1287,39.4241,1.0000,11.2160,6.6456,2.0203,7.0849,227.2380,234.4586,11771
216.0000,1347.3018,784.6168,231.3218,-0.4561,0.8836,0.1058,49.6752,1.0000,11.8741,7.6845,1.7785,7.9529,227.1831,235.7964,16114
217.0000,1346.8401,785.4988,231.4165,-0.4673,0.8801,0.0835,44.0424,1.0000,11.8692,7.6993,1.6839,7.4884,227.2866,235.8880,18763
218.0000,1346.3671,786.3768,231.4891,-0.4788,0.8758,0.0619,42.5531,1.0000,11.6514,7.5460,1.7535,7.3607,227.4319,235.9649,19954
219.0000,1345.8825,787.2500,231.5405,-0.4905,0.8705,0.0409,33.1736,1.0000,11.7975,7.2989,1.8891,6.4991,227.6960,236.0677,20057
220.0000,1345.3860,788.1175,231.5713,-0.5024,0.8644,0.0207,30.2516,1.0000,12.2924,7.4092,1.8676,6.2062,228.1269,236.0473,19783
221.0000,1344.8775,788.9785,231.5822,-0.5146,0.8574,0.0013,35.0642,1.0000,12.5815,7.6277,1.9718,6.6817,228.4675,236.5135,19696
222.0000,1344.3568,789.8321,231.5742,-0.5270,0.8497,-0.0172,40.0678,1.0000,12.4794,7.7187,2.1963,7.1425,228.5112,236.5482,18207
223.0000,1343.8235,790.6776,231.5481,-0.5396,0.8412,-0.0349,43.3430,1.0000,12.5824,7.8055,2.3988,7.4287,228.4401,236.6835,16871
224.0000,1343.2775,791.5143,231.5046,-0.5524,0.8320,-0.0517,43.9054,1.0000,12.0013,7.7062,2.2757,7.4768,228.5025,236.5082,16780
225.0000,1342.7187,792.3413,231.4449,-0.5654,0.8221,-0.0676,34.9749,1.0000,11.8805,7.3918,2.1100,6.6732,228.5348,236.4924,18028
226.0000,1342.1467,793.1582,231.3697,-0.5785,0.8115,-0.0826,37.7708,1.0000,11.9018,7.1281,1.9614,6.9348,228.5580,236.2073,17824
227.0000,1341.5616,793.9641,231.2799,-0.5919,0.8002,-0.0967,43.9952,1.0000,11.9992,6.9994,1.9271,7.4844,228.5847,236.1051,16747
228.0000,1340.9630,794.7584,231.1767,-0.6053,0.7884,-0.1097,38.3832,1.0000,12.1780,6.8972,1.9927,6.9908,228.4966,235.9987,16083
229.0000,1340.3509,795.5406,231.0608,-0.6189,0.7760,-0.1219,39.9905,1.0000,12.0409,6.4622,2.0948,7.1356,228.6172,235.6288,15241
230.0000,1339.7251,796.3101,230.9332,-0.6326,0.7630,-0.1331,35.5324,1.0000,12.0913,6.3757,2.1324,6.7262,228.3760,235.4772,15790
231.0000,1339.0856,797.0664,230.7950,-0.6464,0.7494,-0.1433,34.6718,1.0000,11.9318,6.6316,2.0659,6.6442,228.0087,235.3306,15276
