s,z_dem_percellmax,z_dem_geotiff,tau_percellmax,tau_geotiff,class
216.0,176.090,175.969,6.294,6.173,intact
217.0,176.210,176.195,6.322,6.307,intact
218.0,176.280,176.232,6.315,6.267,intact
219.0,176.290,176.233,6.222,6.165,intact
220.0,176.330,176.303,6.283,6.256,intact
221.0,176.350,176.296,5.837,5.783,intact
222.0,176.340,176.327,5.792,5.779,intact
223.0,176.390,176.363,5.706,5.679,intact
224.0,176.400,176.329,5.892,5.821,intact
225.0,176.510,176.457,6.018,5.965,intact
226.0,176.570,176.398,6.363,6.191,intact
227.0,176.610,176.562,6.505,6.457,intact
228.0,176.690,176.505,6.691,6.506,intact
229.0,176.720,176.680,7.091,7.051,intact
230.0,176.890,176.894,7.413,7.417,intact
231.0,177.000,176.984,7.669,7.653,intact
232.0,177.080,176.968,7.577,7.465,intact
233.0,177.160,177.177,7.454,7.470,intact
234.0,177.320,177.261,7.902,7.843,intact
235.0,177.350,177.299,8.092,8.041,intact
236.0,177.450,177.438,8.600,8.588,intact
237.0,177.530,177.418,9.038,8.926,intact
238.0,177.610,177.524,9.309,9.223,intact
239.0,177.960,177.903,9.822,9.765,intact
240.0,178.290,178.162,10.295,10.167,intact
241.0,178.360,178.345,10.973,10.958,intact
242.0,178.360,178.299,11.246,11.185,intact
243.0,178.420,178.403,11.797,11.780,intact
244.0,178.360,178.336,11.866,11.842,intact
245.0,178.210,178.211,11.439,11.440,intact
246.0,178.160,178.054,10.759,10.653,intact
247.0,178.130,178.106,10.916,10.892,intact
248.0,178.140,178.087,11.886,11.833,intact
249.0,178.160,178.027,12.085,11.952,intact
250.0,178.160,178.065,11.941,11.846,intact
251.0,178.200,178.165,12.919,12.884,intact
252.0,178.200,178.191,13.084,13.075,intact
253.0,178.200,178.115,12.983,12.898,intact
254.0,178.280,178.219,12.540,12.479,intact
255.0,178.300,178.281,12.469,12.450,intact
256.0,178.360,178.327,12.623,12.590,intact
257.0,178.410,178.390,12.574,12.554,intact
258.0,178.440,178.414,12.476,12.450,intact
259.0,178.500,178.459,12.643,12.602,intact
260.0,178.500,178.455,12.980,12.935,intact
261.0,178.580,178.502,12.915,12.837,intact
262.0,178.620,178.580,12.806,12.766,intact
263.0,178.660,178.624,12.829,12.793,intact
264.0,178.660,178.434,12.632,12.406,intact
265.0,178.790,178.706,11.388,11.304,intact
266.0,178.860,178.805,11.187,11.132,intact
267.0,178.870,178.824,11.138,11.092,intact
268.0,178.910,178.869,11.156,11.115,intact
269.0,178.900,178.783,11.137,11.020,intact
270.0,179.050,178.956,11.257,11.163,intact
271.0,179.050,179.024,11.508,11.482,intact
272.0,179.110,179.049,11.762,11.701,intact
273.0,179.190,179.083,11.845,11.738,intact
274.0,179.240,179.128,11.868,11.755,intact
275.0,179.260,179.265,11.922,11.927,intact
276.0,179.330,179.322,11.955,11.947,intact
277.0,179.370,179.327,12.094,12.051,intact
278.0,179.370,179.314,13.040,12.984,intact
279.0,179.410,179.394,13.845,13.829,intact
280.0,179.410,179.411,13.851,13.852,intact
281.0,179.430,179.417,14.140,14.127,intact
282.0,179.500,179.404,14.007,13.911,intact
283.0,179.530,179.453,13.796,13.719,intact
284.0,179.540,179.422,13.379,13.261,intact
285.0,179.550,179.571,13.279,13.300,intact
286.0,179.590,179.364,13.325,13.099,intact
287.0,179.700,179.419,13.424,13.143,intact
288.0,179.800,179.591,13.346,13.137,intact
289.0,179.820,179.774,13.313,13.267,intact
290.0,179.960,179.918,13.269,13.227,intact
291.0,180.160,180.070,13.250,13.160,intact
292.0,180.260,180.106,13.130,12.976,intact
293.0,180.380,180.317,13.017,12.954,intact
294.0,180.720,180.687,13.669,13.636,intact
295.0,180.830,180.792,13.102,13.064,intact
296.0,180.960,180.904,13.445,13.389,intact
297.0,181.000,181.001,13.344,13.345,intact
298.0,181.000,180.889,13.072,12.961,intact
299.0,181.090,180.988,12.946,12.844,intact
300.0,181.080,181.049,13.004,12.973,intact
301.0,181.090,181.022,12.871,12.803,intact
