s,width_lidar_m,width_1970_m,ratio_1970_over_lidar,usable
45.0,12.1495,10.755555555555556,0.8852673406770284,True
46.0,12.011,10.755555555555556,0.8954754438061407,True
47.0,12.1981,10.755555555555556,0.8817402345902686,True
48.0,12.4234,10.044444444444444,nan,False
49.0,12.3778,10.044444444444444,nan,False
50.0,12.1379,9.866666666666667,nan,False
51.0,12.2063,9.866666666666667,nan,False
52.0,12.2823,9.955555555555556,0.8105611779190832,True
53.0,12.3936,9.955555555555556,0.8032819806638553,True
54.0,12.388,9.955555555555556,0.8036451045814946,True
55.0,12.3122,9.511111111111111,0.7724948515384018,True
56.0,12.083,9.511111111111111,0.7871481512133668,True
57.0,12.0217,9.422222222222222,nan,False
58.0,11.8309,9.422222222222222,nan,False
59.0,11.671,9.155555555555555,0.7844705299936214,True
60.0,11.6065,9.155555555555555,0.7888300138332447,True
61.0,11.4422,9.066666666666666,0.7923884101542245,True
62.0,11.2298,9.066666666666666,0.8073756136945153,True
63.0,10.4828,9.066666666666666,0.8649088665878074,True
64.0,10.415,9.155555555555555,0.8790739851709607,True
65.0,10.0998,9.155555555555555,0.9065085997302477,True
66.0,10.0685,9.244444444444444,0.9181550821318413,True
67.0,10.218,9.244444444444444,0.9047215154085382,True
68.0,10.024,9.155555555555555,0.9133634831958855,True
69.0,10.1075,9.155555555555555,0.9058180119273367,True
70.0,9.8018,9.6,0.9794119447448427,True
71.0,10.2154,9.6,0.9397576208469565,True
72.0,10.291,10.044444444444444,nan,False
73.0,10.4304,10.044444444444444,nan,False
74.0,11.1341,10.577777777777778,0.9500343788701177,True
75.0,11.6039,10.577777777777778,0.9115709182066183,True
76.0,11.8959,10.577777777777778,0.88919525027764,True
77.0,12.2229,11.022222222222222,0.90176817467395,True
78.0,13.2234,11.022222222222222,0.8335391973488075,True
79.0,14.8449,11.822222222222223,0.7963827457390903,True
80.0,15.3204,11.822222222222223,0.7716653757227111,True
81.0,15.1764,12.533333333333333,0.8258436344148371,True
82.0,15.1958,12.533333333333333,0.8247893058169582,True
83.0,15.2304,12.533333333333333,0.8229155723640439,True
84.0,15.3931,12.533333333333333,0.8142176256461228,True
85.0,16.2723,12.533333333333333,0.7702250654998576,True
86.0,16.8803,12.533333333333333,0.7424828547675891,True
87.0,15.8529,12.533333333333333,0.790601929825668,True
88.0,16.471,13.333333333333334,0.8095035719345112,True
89.0,17.249,13.333333333333334,0.7729916710147449,True
90.0,16.9617,13.333333333333334,0.7860847281424228,True
91.0,15.9183,13.333333333333334,0.8376103813430664,True
92.0,15.6813,13.333333333333334,0.8502696417601432,True
93.0,16.043,13.066666666666666,nan,False
94.0,14.6785,13.066666666666666,nan,False
95.0,14.4655,12.8,0.8848639867270403,True
96.0,13.5837,12.8,0.9423058518665755,True
97.0,13.6713,12.622222222222222,0.9232642266808732,True
98.0,13.3338,12.177777777777777,0.9133013677854608,True
99.0,12.6541,11.466666666666667,0.9061621661490479,True
100.0,11.6123,11.466666666666667,0.9874587004010116,True
101.0,10.8767,11.466666666666667,1.0542413293247646,True
102.0,10.8853,11.555555555555555,1.0615743760443492,True
103.0,10.2441,11.555555555555555,1.1280205733598418,True
104.0,9.9995,11.555555555555555,1.1556133362223666,True
105.0,10.2582,12.266666666666667,1.1957913344121451,True
106.0,10.1872,12.266666666666667,1.2041254384587194,True
107.0,10.09,12.71111111111111,1.2597731527364826,True
108.0,10.2247,12.71111111111111,1.2431769255930354,True
109.0,11.1455,12.71111111111111,1.1404702445929846,True
110.0,11.552,11.911111111111111,nan,False
111.0,11.4351,11.911111111111111,nan,False
112.0,11.4772,11.911111111111111,nan,False
113.0,11.621,11.911111111111111,1.024964384399889,True
114.0,11.2346,11.911111111111111,1.060216751029063,True
115.0,10.9921,11.911111111111111,1.083606509321341,True
116.0,11.0186,11.11111111111111,1.0083959042991952,True
117.0,11.1341,11.11111111111111,0.9979352719223925,True
118.0,11.2301,9.688888888888888,0.8627606957096453,True
119.0,11.0615,9.688888888888888,0.8759109423576267,True
120.0,10.1864,8.622222222222222,0.8464444968018359,True
121.0,10.035,8.622222222222222,0.8592149698278247,True
122.0,10.2756,8.177777777777777,0.7958443086318829,True
123.0,9.6567,8.177777777777777,0.8468501431936144,True
124.0,9.6751,8.177777777777777,0.8452396127975708,True
125.0,9.4664,7.911111111111111,0.8357042921396847,True
126.0,8.8933,8.0,0.8995535965277232,True
127.0,8.6694,8.0,0.9227858906037327,True
128.0,8.4636,8.0,0.9452242544543693,True
129.0,8.7213,8.71111111111111,0.9988317236089931,True
130.0,9.6612,8.71111111111111,0.9016593291838603,True
131.0,10.1282,9.511111111111111,0.9390722054374037,True
132.0,10.4474,9.511111111111111,0.9103806795098408,True
133.0,10.8847,9.511111111111111,0.8738055353947386,True
134.0,11.4439,10.222222222222221,0.8932463777403002,True
135.0,12.0126,11.2,0.9323543612540165,True
136.0,12.3841,11.2,0.9043854620036982,True
137.0,12.7282,11.2,0.8799358903851291,True
138.0,12.9309,6.933333333333334,nan,False
139.0,12.9543,6.933333333333334,nan,False
140.0,12.3833,6.933333333333334,nan,False
141.0,12.141,6.933333333333334,nan,False
142.0,11.4764,6.933333333333334,nan,False
143.0,9.9175,6.933333333333334,nan,False
144.0,9.4375,6.933333333333334,nan,False
145.0,9.433,6.933333333333334,nan,False
146.0,10.0652,6.933333333333334,nan,False
147.0,10.667,3.5555555555555554,nan,False
148.0,10.5841,3.5555555555555554,nan,False
149.0,10.5672,6.4,nan,False
150.0,10.5621,6.4,nan,False
151.0,10.0997,6.4,nan,False
152.0,9.6395,6.488888888888889,nan,False
153.0,8.8249,6.488888888888889,nan,False
154.0,8.8869,6.5777777777777775,nan,False
155.0,9.3485,6.5777777777777775,nan,False
156.0,11.2847,6.222222222222222,nan,False
157.0,13.0845,6.222222222222222,nan,False
158.0,14.2755,6.222222222222222,nan,False
159.0,18.2154,6.311111111111111,nan,False
160.0,19.6506,6.311111111111111,nan,False
161.0,26.559,6.311111111111111,nan,False
162.0,23.7535,6.311111111111111,nan,False
163.0,10.2994,6.311111111111111,nan,False
164.0,9.8355,6.311111111111111,nan,False
165.0,10.3392,6.311111111111111,nan,False
166.0,10.712,6.311111111111111,nan,False
167.0,11.3493,6.311111111111111,nan,False
168.0,11.3744,9.6,nan,False
169.0,10.6398,9.6,nan,False
170.0,10.6323,9.6,nan,False
171.0,10.3856,9.6,nan,False
172.0,10.663,9.6,nan,False
173.0,10.672,9.6,nan,False
174.0,10.6714,9.511111111111111,0.8912711650871592,True
175.0,30.4923,9.511111111111111,0.3119184551874116,True
176.0,31.3089,9.511111111111111,0.30378298538470244,True
177.0,31.4171,8.71111111111111,0.2772729217881698,True
178.0,31.5976,8.71111111111111,0.27568901154236747,True
179.0,31.1965,8.71111111111111,0.27923360348472137,True
180.0,29.5489,8.71111111111111,0.29480322824575905,True
181.0,8.2005,8.088888888888889,0.986389718784085,True
182.0,8.477,8.088888888888889,0.9542159831177172,True
183.0,8.5106,8.088888888888889,0.950448721463691,True
184.0,8.2769,7.288888888888889,0.8806302950245731,True
185.0,8.1068,7.288888888888889,0.8991080190567041,True
186.0,8.0214,6.844444444444444,0.8532730501464139,True
187.0,7.3087,6.844444444444444,0.9364790516021241,True
