Name,Terrain,Type,Host Feature,Latitude,Longitude_180,Longitude_360,Funnel Max Diam,Funnel Min Diam,Inner Max Diam,Inner Min Diam,Azimuth,Depth,Depth_Num,Depth1,Depth2,Depth3,Image 1,Image 1 Line,Image 1 Sample,Inc 1,Em 1,Time 1,Res 1,Image 2,Inc 2,Em 2,Time 2,Res 2,Image 3,Inc 3,Em 3,Time 3,Res 3,Stereo IDs,DTM,Other Useful Images,Warnings,Description,Entrance Ramp?,Overhangs?,Nearby Pits?,Nearby Fractures?,Nearby Depressions?,In Dome?,Beside Dome?,In Depression?,Colinear Pits?,Colinear depressions?,Colinear Fractures?
Crookes 9,Impact Melt,,Crookes,-10.1715,-165.1625,194.8375,34,28,26,22,50,10,10,8.9,7.2,12.8,M1189437272L,18830,1346,-57.65,2.44,15.83,0.87,M1191791679L,-31.42,1.72,14.02,0.88,M1183552745R,55.09,1.46,8.37,1.02,"M176359843L,M176353098L",,M110316458L ,"Depths 1 and 2 are from W rim, depth 3 is from E.  In stereo, E rim does appear higher.",Circular pit with rounded floor.  Few boulders visible on floor. Possible slope from rim to floor in SW side.  Crookes 10 is ~180m W.,Y?,?,Y,Y?,N,N,N,N,Y,N,N
Crookes 10,Impact Melt,,Crookes,-10.1717,-165.1698,194.8302,40,20,30,12,20,8,8,10.7,6.5,7.5,M1119966613L,36522,2127,28.38,-1.98,10.24,0.93,M105593830L,-40.38,0.59,14.63,1.04,M1191791679L,-31.41,1.87,14.02,0.88,"M176359843L,M176353098L",,,"Depth 3 is from E wall, others are from W wall.  In stereo, E wall appears higher than W.","Elliptical pit with the long axis running NNE-SSW.  N and S ends appear to have ramps running from rim to floor (S ramp is much wider).  There is a chain of collapses running roughly E-W, with the E end ~140m NW of this point.  There are a few minor collapses running ~100m W from this pit.  Crookes 9 is ~180m E.",Y,?,Y,Y?,Y,N,N,N,Y,N,N
Crookes 11a,Impact Melt,,Crookes,-10.2353,-165.217,194.783,57,38,41,25,45,9,9,8.4,9.7,8,M1183552745R,31788,4525,55.15,2.39,8.36,1.02,M1097573241L,-56.97,0.4,15.78,1,M1191791679L,-31.38,2.89,14.02,0.88,"M176359843R,M176353098R",,,,"Elliptical pit, northern of a pair of pits ~30m apart at the W base of a PRF. NE wall is a slope to the S end, numerous boulders on the floor (some may have rolled in from the PRF, though there are no tracks).  Definitely a possible tunnel across to Crookes 11b, but not provable with orbital images. There are more depressions in a rough line running to the NNE, and Crookes 4 is ~190m NNW.",Y,?,Y,N?,Y,N,Y,N,Y,Y?,N
Crookes 11b,Impact Melt,,Crookes,-10.2372,-165.2178,194.7822,55,34,28,26,30,9,9,9.8,6.5,12,M1183552745R,31733,4544,55.15,2.4,8.36,1.02,M1097573241L,-56.97,0.42,15.78,1,M1119966613L,28.45,-1.08,10.24,0.93,"M176359843R,M176353098R",,,Depth 2 is from (lower?) W rim.,"Rectangular pit, southern of the Crookes 11 pair.  SW wall is a slope to floor level, and the floor is mostly clear of boulders.",Y,?,Y,N?,Y,N,Y,N,Y,Y?,N
Das 1a,Impact Melt,,Das,-26.3088,-136.7397,223.2603,N/A,N/A,21,5,135,11,11,9.4,11.6,>15.3,M112489524L,13264,4367,45.15,-0.63,9.39,0.58,M1132739466L,-26.05,2.41,12.52,0.8,M1163359323L,-26.22,1.92,12.53,0.87,"M112489524L,M127823013L",,,"North (shadow-casting) wall has some protruding rocks part-way down (~7m below rim?), and depths 1 and 2 are from those rocks.  Depth 3 is from rim of host depression to south wall (no floor visible). Stereo pair is accidental, may not produce useful DTM.","A narrow pit in the floor of a sinuous round-bottomed depression, oriented parallel to the depression.  NW wall is collapsed to form a slope from rim to SE wall.  25 m from Das 1b",Y,?,Y,N,Y,N,Y,Y,N,N,N
Das 1b,Impact Melt,,Das,-26.3098,-136.7401,223.2599,18,13,6,5,100,11,11,10.2,10.8,>6,M112489524L,13316,4377,45.15,-0.62,9.39,0.58,M1132739466L,-26.05,2.42,12.52,0.8,M1163359323L,-26.22,1.93,12.53,0.87,"M112489524L,M127823013L",,,"Stereo pair is accidental, may not produce useful DTM.","A small pit just outside of the depression that hosts Das 1a.  S/E sides have a large funnel down to a likely sharp rim, N/W walls are much taller. No visible floor.",Y?,?,Y,N,Y,N,N,N,N,N,N
Das 2,Impact Melt,,Das,-26.2518,-136.9094,223.0906,18,10,14,5,165,4,4,4.2,>4.1,>4.5,M173817722L,6355,3696,35.33,-1.02,10.28,0.58,M191494735L,59.2,-1.97,8.33,0.83,M1183360718L,57.5,-1.98,8.44,0.85,"M176178010R,M176171262L",,,Floor is only visible in one image (Depth 1).  Depths 2 and 3 are minimum values.,"An elliptical pit with crisp rim and minimal funnel. No nearby collapses, although there's a possibly-suspicious depression 25m to the east.",N,?,N,N,N,N,N?,N,N,N,N
Das 3,Impact Melt,,Das,-26.2963,-136.9271,223.0729,23,21,18,13,145,6,6,6,>8.4,>8.4,M173817722L,8507,4563,35.37,-0.51,10.28,0.58,M191494735L,59.23,-1.65,8.33,0.82,M1183360718L,57.53,-1.7,8.44,0.85,"M176178010R,M176171262L",,,Floor is only visible in Depth 1 image (and an unused slewed image).  Depths 2 and 3 and minimum values.,"Roughly rectangular pit.  There is some degree of collapse on the south wall, but it does not appear to reach the floor.  The floor itself has some non-flatness.  There is a shadow edge visible in the slewed image M176171262L that is not visible in the slightly higher-Sun nadir image M1183360718L, indicating a >=2 m deep overhang.  There is a small (~3m diameter) depression/pit 70m to the NW, a NNW/SSE-trending linear depression ~300m W, and several other possible depressions running in the same direction in the area.",N?,Y,Y?,N,Y?,N,N,N,N,Y,N
Das 4a,Impact Melt,,Das,-26.4088,-137.212,222.788,28,27,18,17,55,5,5,5.6,5.5,4.4,M136085100R,15532,2394,-53.79,9.17,15.29,0.58,M1237491651R,-37.53,-0.5,13.75,0.88,M1303331989L,50.57,-2.08,8.99,0.92,"M1198681331R,M1198674297R",,,"Depth 3 is from downward-sloping NE rim, others are from NE rim.","Northernmost and largest of a cluster of 4-5 pits.  Southern wall is a slope, other walls are fairly crisp.  Large boulder/projection from NW wall.  Other pits Das 4b and 4c are 180 m S, Das 4d is 160 m SE of 4b/4c, and Das 4e is 310 m ESE of Das 1a.",Y,?,Y,N,Y,Y?,Y?,N,Y,N,N
Das 4b,Impact Melt,Uncertain,Das,-26.4148,-137.2127,222.7873,12,11,N/A,N/A,0,>5,5,>5.1,>4.6,4,M136085100R,15826,2361,-53.79,9.18,15.29,0.58,M1237491651R,-37.54,-0.49,13.74,0.88,M1303331989L,50.57,-2.07,8.99,0.92,"M1198681331R,M1198674297R",,,,"NE of a pair of tiny pits. May only be a deep depression- no rims visible in available images.  About 20 m NE from Das 4c.  Both pits are too small to make out much detail in the available data, and neither has a visible floor. ",?,?,Y,N,Y,N,N,N,Y,N,N
Das 4c,Impact Melt,,Das,-26.4151,-137.2136,222.7864,11,9,4,2,130,>5,5,>4.5,>5.2,>3.0,M136085100R,15843,2320,-53.79,9.21,15.29,0.58,M1237491651R,-37.53,-0.48,13.74,0.88,M1303331989L,50.57,-2.06,8.99,0.92,",",,,,"SW of a pair of tiny pits, see Das 4b description for details.  Unlike Das 4b, Das 4c does have one rim (NE) visible in the available images, not just a funnel and deep shadow.",?,?,Y,N,Y,N,N,N,Y,N,N
Das 4d,Impact Melt,,Das,-26.4189,-137.2093,222.7907,18,12,9,6,130,>6,6,>7.7,4.8,>4.9,M136085100R,16031,2520,-53.79,9.09,15.29,0.58,M1237491651R,-37.54,-0.56,13.75,0.88,M1303331989L,50.57,-2.14,8.99,0.92,"M1198681331R,M1198674297R",,,Depth 1 is from top of funnel.  Funnel measure does not include the shallow depression to the NE. Depth 2 is from rim to N slope; down-sun side of N wall slope also casts a shadow.,"Southernmost of the Das 4 cluster of ~5 pits.  N wall seems to be a slope downward to the S wall, and is continuous with a ~30-m-wide depression to the N. W wall is in the side of a small PRF.",Y,?,Y,N,Y,N,Y,Y,Y,N,N
Das 4e,Impact Melt,Uncertain,Das,-26.4126,-137.2013,222.7987,21,13,N/A,N/A,0,5,5,6.4,5.2,4.1,M136085100R,15720,2896,-53.8,8.87,15.29,0.58,M1237491651R,-37.54,-0.7,13.75,0.88,M1303331989L,50.56,-2.27,8.99,0.92,"M1198681331R,M1198674297R",,,Depth is from top of funnel to end of shadow.,"May just be a deep depression.  ~250 m east of the Das 4a-d pits.  SW end of shadow may be a rim, or may be a high-albedo spot.",Y?,?,Y,N,Y,N,N,N?,Y,Y?,N
Dollond E 1a,Impact Melt,,Dollond E,-10.2737,15.7013,15.7013,47,35,36,25,140,>50,50,>43,>45,>58,M1177656184R,6678,1520,-19.18,-0.58,13.02,0.87,M1101110051L,-19.45,0.31,13.17,0.92,M1103467217R,13.12,-0.08,11.36,0.92,"M1121138205R,M1121124008R",,M1208262541L ,,"Semicircular pit 200m NW of the crater wall.  The west wall appears to slope down at a slightly off-vertical angle, and there are two protruding ~5m boulders/layers at the south end.  No floor is visible other than those boulders, so depths are measured to them.  Rim-to-rim shadow measures give potential of depths >80m.  Slewed image M1208262541L shows none of the same rocks as similarly-lit nadir M1177656184R, but reveals ~50m of illuminated vertical east wall, and a small alcove near the rim.  Minimal funnel.  Dollond 1b is 25m to the SW.  There are a pair of ~4m dark spots that may be collapse features 5 and 10m NE.",N,N?,Y,Y,N,N,Y,Y?,Y?,N,N
Dollond E 1b,Impact Melt,,Dollond E,-10.275,15.7004,15.7004,17,12,17,N/A,70,28,28,25.3,32.2,27.9,M1177656184R,6641,1474,-19.18,-0.56,13.02,0.87,M1101110051L,-19.45,0.33,13.17,0.92,M1103467217R,13.12,0.08,11.36,0.92,"M1121138205R,M1121124008R",,M1208262541L ,,"Eastern of a pair of adjacent (joined?) circular pits ~30m SW of Dollond E 1a.  S wall might be an off-vertical slope, and may have a protruding lump.  There is a tiny (~5m) dark spot ~10m south that might be another collapse.",N,?,Y,Y,N,N,Y,Y?,Y?,N,N
Dollond E 1c,Impact Melt,,Dollond E,-10.275,15.6998,15.6998,12,11,12,11,130,32,32,33,38.4,25.3,M1177656184R,6639,1454,-19.18,-0.55,13.02,0.87,M1101110051L,-19.45,0.34,13.17,0.92,M1103467217R,13.12,0.09,11.36,0.92,"M1121138205R,M1121124008R",,M1208262541L ,,"Western of the Dollond E 1b/c pair.  All walls appear to be vertical or overhanging- A slewed image indicates an overhang of 5-6m, and corroborates the depth of ~30m.",N,Y,Y,Y,N,N,Y,Y?,Y?,N,N
Dollond E 1d,Impact Melt,,Dollond E,-10.2738,15.7035,15.7035,11,8,11,N/A,70,14,14,13.5,12.7,15,M1177656184R,6714,1578,-19.19,-0.62,13.02,0.87,M1101110051L,-19.45,0.27,13.17,0.92,M1103467217R,13.12,-0.09,11.36,0.92,"M1121138205R,M1121124008R",,M1208262541L ,,"Elliptical depression 40m east of Dollond E 1a.  Seems to be a cliff on the north side, and a smooth slope on the south.  Can't make out much about the morphology due to resolution and limited incidence angles.",N?,?,Y,Y,N,N,Y,Y?,Y?,N,N
Fraunhofer G 1,Impact Melt,,Fraunhofer G,-38.5001,58.3638,58.3638,23,14,17,11,25,4,4,4,4.9,>6.6,M126547168L,26253,4366,45.51,-0.62,10.42,0.39,M1162092747L,-43.18,1.25,13.61,0.8,M1175012025L,-58.19,1.79,15.06,0.6,"M185497131L,M185489982R",,,"Depth 3 is from W rim, other depths are from W.","Rectangular pit near a possible melt flow edge.  There are several other depressions/collapses in the area: a ~7m deep collapse with vertical northern wall (other edges are shallow slopes) ~25m S, and shallow collapses with some degree of rim ~75m W and ~200m E.  This pit has no entrance ramps, and the floor appears smooth.",N,?,Y,N,Y,Y,N,N,Y,N,N
Harriot 1,Impact Melt,,Harriot,33.2933,114.2911,114.2911,41,34,27,25,50,9,9,12.1,10,4.5,M123826391L,12330,4266,-32.79,0.68,12.56,0.59,M106123760R,-46.81,-0.18,14.26,1.65,M130904815R,74.66,1.18,7.2,0.89,"M1227613833L,M1227599762L",,,"Depth 3 is from top of funnel to west slope near what I thought was the floor, and very close to Depth 2.","A wide, shallow pit, roughly square.  The west wall is a smooth slope to the floor, and there seems to be a boulder pile in the NE corner that reaches the rim.  No nearby collapses.",Y,?,N,N,N,N,N,N,N,N,N
Hayn 1,Impact Melt,,Hayn,65.2233,84.2004,84.2004,35,27,N/A,N/A,60,>7,7,>7,>6.8,,M154705713R,6975,4337,-64.65,-2.23,13.02,0.57,M187722274L,64.05,-1.6,11.58,1.88,,,,,,N/A,,M1128897934R ,Depths are from top of funnel to where shadow ends (probable NE/NW wall junction).,"Possibly not a pit.  Much darker/larger shadow than nearby craters, but cannot distinguish any walls for certain.  There may be a corner between NE and NW walls visible in most images, and a possible outcrop on the SE funnel.",Y?,?,N,N,N,N?,N?,N,N,N,N
Jackson 1a,Impact Melt,,Jackson,22.4208,-163.7132,196.2868,31,20,13,8,160,19,19,15,22.7,>13.5,M125645661L,39421,4531,24.5,-0.52,11.12,0.53,M1178843656L,-21.59,0.36,12.21,1.35,M1097558297L,-59.46,2.35,15.73,1.44,"M105593167L,M105585995L",,M1122318040R ,"Depth 2 is from west rim, which may be higher than south.  Depth 3 is from top of funnel, and no floor is visible.","Central of three pits in a rough line (~10m north of the ~150m direct line between the end pits).  North wall may be a slope down to the floor, although there seems to be a bit of a rim.  Significant funnel, especially on SE side. No depression visible in ground between the end pits of the chain.",N?,?,Y,N,Y,N,N,N,Y,N,N
Jackson 1b,Impact Melt,,Jackson,22.4191,-163.7172,196.2828,51,49,30,26,60,20,20,17.5,20.2,20.9,M125645661L,39338,4734,24.5,-0.39,11.12,0.53,M1178843656L,-21.59,0.41,12.21,1.35,M1097558297L,-59.46,2.4,15.73,1.44,"M105593167L,M105585995L",,M1122318040R ,Depth 3 is from top of funnel.,"Western of the Jackson 1 pits.  Very pronounced funnel.  East end opens into a larger depression, ~100m wide, the south side of which is a ~100m long broken boulder (or hill with caprock layer) (it looks like the boulder was impact breccia, and half of it disintegrated and fell into the depression).  NW corner may be a smooth slope to the floor.  Probable overhang to the east- the (flat) floor is casting a visible shadow in a slewed image looking down-Sun to the east (M105593167L).  Funnel is steeper than 39 degrees.",Y?,Y?,Y,N,Y,N,Y,N,Y,N,N
Jackson 1c,Impact Melt,,Jackson,22.4214,-163.7093,196.2907,95,45,N/A,31,60,15,15,15.3,10.7,18.2,M125645661L,39443,4319,24.5,-0.64,11.12,0.53,M1178843656L,-21.59,0.31,12.21,1.35,M1097558297L,-59.47,2.31,15.73,1.44,"M105593167L,M105585995L",,M1122318040R ,Depth 3 is from top of funnel.,"Eastern of the Jackson 1 pit chain.  Elliptical, with both east and west ends having a smooth slope to the floor (western end, at least, is in self-cast shadow at 45 degree incidence angle!).  Center of the pit is a large block of fractured rock, rising to level with surrounding terrain.",Y,?,Y,N,Y,N,N,N,Y,N,N
Jackson 2a,Impact Melt,,Jackson,22.4967,-163.7186,196.2814,44,27,25,15,40,7,7,7.8,5.6,8.3,M125645661L,43351,4776,24.57,-0.38,11.12,0.53,M1314082002R,-23.98,-2.18,12.34,1,M184604792L,-33.02,2.17,13.75,1.42,"M105593167L,M105585995L",,,"Depths measured from S end of pit, N side of floor is at least 2 m shallower.","Outer of a pair of concentric pits.  Generally rectangular, there is a likely-traversable slope from the north corner to the inner pit, Jackson 2b. Jackson 2b occupies the center of the floor, stretching from SE to NW walls, and ~7m from the SW wall.  Surroundings are lumpy, somewhat jagged-looking melt.",Y?,?,N,N,Y?,N,N,N?,N,N,N
Jackson 2b,Impact Melt,,Jackson,22.4967,-163.7186,196.2814,N/A,N/A,11,9,140,,0,14.7,7.9,>10.8,M125645661L,43345,4780,24.57,-0.38,11.12,0.53,M1314082002R,-23.98,-2.18,12.34,1,M184604792L,-33.02,2.17,13.75,1.42,"M105593167L,M105585995L",,,"Depths 1 and 3 are depth from S rim of Jackson 2a (22.5 m, 19.4 m) minus depth of an adjacent point on Jackson 2a's floor relative to the same rim (7.8 m, 8.3 m)","Inner of a pair of concentric pits.  Generally rectangular, only a sliver of floor is visible.",N,?,N,N,Y?,N,N,N?,N,N,N
Jackson 3,Impact Melt,,Jackson,22.1992,-162.8507,197.1493,34,27,18,11,165,17,17,18.6,14.8,>8.8,M1106981436R,22194,906,56.05,0.23,8.48,1.42,M171624375L,23.69,2.55,11.92,0.6,M176338993R,59.49,2.26,8.23,0.43,"M1106988580R,M1106974292R",,,,"An elliptical collapse in the middle of a collection of large straight fractures, but not in line with any of them (probably).  Very pronounced funnel, and several 1-3m boulders visible on the floor.  At the northern foot of a subtle rise.",N,?,N,Y,N,Y,N,N,N,N,N
Jackson 4,Impact Melt,,Jackson,21.7636,-162.8803,197.1197,14,10,9,5,85,8,8,7.3,7.6,8.9,M110302263L,42822,2223,26.77,-1.9,11.1,0.59,M1176484245R,-37.07,-0.95,14.12,1.34,M186956552R,20.4,2.74,11.9,1.4,"M1106988580R,M1106974292R",,,"Depth 3 is very high Sun, and shadow edges are a bit fuzzy.","Very deep elliptical pit in the south wall of a positive relief feature.  The PRF cuts across a fracture that is running E-W, and there is a confirmed ~5m overhang where a wide fracture pit runs under the PRF (eyeballing the available stereo data and measuring shadows in the fracture pit, the PRF is ~10-15m tall, and the fracture pit is ~5-10m below the surrounding terrain).",N,Y?,N,Y,Y,Y,N,N,N,N,N
Jackson 5,Impact Melt,,Jackson,22.3063,-162.9147,197.0853,17,15,11,9,120,>19,19,>19.4,>16.1,>9.2,M110302263L,17514,4316,27.26,-0.66,11.1,0.59,M1104623779L,33.81,2.69,10.32,1.43,M1106981436R,56.14,0.98,8.48,1.42,"M1106988580R,M1106974292R",,,,"Irregular pit with somewhat pronounced funnel (notably, the funnel depth is even all the way around).  Possible 5m wide shallow collapse 8m to the SW.  No floor visible in any image. ~30m east of the base of a ~300m-long PRF.  There is a subtle round-bottom depression that runs around the N/NW/W sides of that PRF.  No other collapses in the area.",N,?,N,N,Y,N,Y,N,N,N,N
Jackson 6,Impact Melt,,Jackson,22.4434,-162.7447,197.2553,18,16,13,13,0,7,7,7.7,6,6.5,M171624375R,27614,1276,23.92,-0.43,11.93,0.59,M105578820L,-45.19,3.15,14.65,1.5,M176338993L,59.46,-1.88,8.24,0.43,"M1106988580L,M1106974292L",,,,"Round depression.  Resolution is bad in most images, but shadow shape implies a bowl-shaped floor, possibly flat near the S wall (shadow measures disagree: 1 is from by S wall, 2 is from center, 3 is from NW wall).  NE wall may be sloped to very near the rim.  Floor is much higher albedo than surroundings, and seems to be covered by ~1m rocks.  Pit is at north foot of a rise, no other collapse features nearby, but there is a linear round-bottomed depression, ~40m wide, 175m N.",N?,?,N,N,Y,N?,N,N?,N,N,N
Kepler 1,Impact Melt,Fracture,Kepler,8.2745,-37.9499,322.0501,42,33,25,12,65,10,10,9.4,10.4,11.4,M111843702R,13367,977,32.65,0.26,9.92,0.49,M188493098L,21.03,-1.3,10.68,1.23,M186134194L,-10.01,1.83,12.49,1.24,"M166100555R,M166093770R",,,"Depth 3 is extremely high sun (10 degree incidence), so the 2 degree emission angle may be significant.  Also, sun is mostly parallel to the walls.","An irregular L-shaped pit in a series of short fractures, though it itself is not directly connected to any fractures.  Individual fractures cut diagonally across the main trend of this chain of fractures. No clear slope to the bottom, but the walls don't appear to be perfectly vertical either, and there may be (hand to traverse) entrance slopes on south and east.  To the NW (same direction as other individual fractures run) is a shallow linear depression.  There is a 16m crater with some bright ejecta ~20m to the west.",N?,?,Y?,Y,N?,N,N,N?,N?,N?,Y
Kepler 2,Impact Melt,,Kepler,8.2724,-37.9752,322.0248,14,11,6,5,30,9,9,3.9,6.5,15.3,M111843702R,13487,2525,32.67,1.16,9.92,0.49,M188493098L,21.05,-0.92,10.67,1.23,M186134194L,-9.99,2.21,12.49,1.24,"M166100555L,M166093770R",,,"Depth 3 is extremely high sun (10 degree incidence), so the 2 degree emission angle may be significant.  Also, resolution is low.","A roundish pit, very much in the Tranquillitatis style.  Fairly pronounced funnel.  There's a large open fracture ~250m to the NE, and an arc of tiny fractures running from SW to E, approaching to within 75m due south.",N,?,Y,Y,Y,N,N,N,N,N,N
Kepler 3,Impact Melt,,Kepler,8.1636,-37.9551,322.0449,25,15,14,8,145,13,13,8.1,11.7,18.1,M111843702R,19492,1219,32.63,0.4,9.92,0.49,M188493098L,21,-1.25,10.68,1.23,M186134194L,-9.93,1.89,12.49,1.24,"M166100555R,M166093770R",,,"Depth 3 is extremely high sun (10 degree incidence), so the 2 degree emission angle may be significant.  Also, resolution is low.  Measure is from south wall.","Elliptical pit, mostly consists of funnel (possibly the funnel to the SE is a 17 m impact crater).  There appears to be little funnel on the N and E walls, funnel may or may not reach floor on the SW.  Floor is significantly darker than funnel, and is what I will use as a measure of the inner pit.  ~175m south of the central peak, no collapses in the area.",Y?,?,N,N,N,N,N,N,N,N,N
Kepler 4a,Impact Melt,,Kepler,7.946,-37.8637,322.1363,70,45,56,38,30,22,22,18.1,19,28.8,M111843702L,31600,344,32.48,-2.99,9.92,0.49,M188493098L,20.84,-2.67,10.68,1.23,M186134194L,-9.85,0.48,12.5,1.23,"M135439816L,M135433031R",,M155485087R,"Depth 3 is extremely high sun (10 degree incidence), but with only a 0.5 degree emission.  Also, resolution is low.  Measure is from west wall, others are from east.","A trapezoidal pit. Kepler 4b is ~200 m E, and there is a band of fractures/depressions WSW-ENE ~100m N of the pit.  SW corner of the pit is a slope leading almost all the way to the floor.  There is a short ridge cutting across the base of the slope, although it should be possible to go around it.  Lighting in slewed images puts all potential overhangs in shadow.",Y,?,Y,Y,Y,N,Y,N,N,N,N
King 1a,Impact Melt,,King,6.2408,119.7341,119.7341,30,22,27,18,25,11,11,11,9.3,12.1,M113168034R,34015,2534,47.48,1.17,8.87,0.62,M106088433L,-35.08,1.57,14.29,1.29,M1135766659R,28.94,1.26,10.12,1.17,"M143839277L,M143832493L",NAC_DTM_KINGCRATER3,,"Depth 2 is from rim, other depths are from bridge.","Elliptical pit, northwestern of two pits in a PRF.  The two pits are separated by a bridge, 19m long, ~9.5m wide at the narrowest point.  The cross-sectional thickness is ~5-7m at an angle ~45 degrees off vertical, depending on the image measured and how close to flat the ground the shadow is on is (implying a ~4m vertical thickness if the bridge has an elliptical cross-section).  The S end of the bridge is the highest point on the PRF, and the N end is near the base.  The floor of this pit slopes down towards a point under the S end of the bridge, and there is a scattering of 1-3m boulders on the floor.  There is a possible 1-2m wide break in the rim in the N, leading into a ~40m wide shallow depression, although high-Sun images suggest that there is still a 1-2m drop at the lowest point.  Other nearby features are a string of tiny pits/fractures connected by depressions ~100m N, roughly in line with King 1a and the depression just N of it; a ~5m fracture in a depression ~65m S, also in line with the northern features; and a string of small depressions ~220m S.",N?,Y,Y,Y,Y,Y,N,N,N,N,Y
King 1b,Impact Melt,,King,6.2402,119.7351,119.7351,32,21,28,18,120,10,10,12.1,7.6,11.6,M106088433L,41351,2891,-35.08,1.56,14.29,1.29,M1153439131L,58.51,-1.34,8.12,1.28,M185104801R,-20.75,-0.46,13.35,1.26,"M143839277L,M143832493L",NAC_DTM_KINGCRATER3,,"Depth 2 is from rim, other depths are from bridge.","Elliptical pit, southeastern of a pair ""separated"" by a bridge.  Floor slopes from ~2m below E rim to ~5m lower below the S end of the bridge.  There is a cluster of 1-5m boulders under the E side of the bridge (there's a 5m-long block directly under the NE edge).  No driving access, except by going under the bridge.",N,Y,Y,Y,Y,Y,Y,N,N,N,N
King 2a,Impact Melt,,King,6.3808,119.9992,119.9992,24,17,12,12,35,7,7,5.9,9.6,5.6,M182745931R,22998,2658,-48.5,-1.29,15.22,1.27,M1131053889R,-27.63,-0.16,13.77,1.17,M106088433R,-35.36,-2.24,14.31,1.29,"M128509025L,M128502237L",NAC_DTM_KINGCRATER2,,,"Round/square pit, northern of a pair of pits in the S end of a PRF that look like (but are not) a second natural bridge. N and E walls are a slope from rim to floor, other walls are nearly vertical. Floor looks rough. King 2b is 10m SW, and there are larger collapses in the PRF ~20m to the W and N.  There is a set of fractures running N from the N end of the PRF, in line with King 2.  King 37 is ~200m E.",Y,N?,Y,Y,Y,Y,N,N,N,N,N
King 2b,Impact Melt,,King,6.3802,119.9972,119.9972,19,18,15,9,160,7,7,7.1,10.5,4.2,M1120456952R,26993,2126,32.23,0.98,9.88,1.17,M1131053889R,-27.62,-0.13,13.77,1.17,M106088433R,-35.36,-2.21,14.31,1.29,"M128509025L,M128502237L",NAC_DTM_KINGCRATER2,,,"Elliptical pit, southern of pair in PRF.  Smooth floor, appears to be slanted from SW to NE.",Y,N?,Y,Y,Y,Y,Y,N,N,N,N
King 3a,Impact Melt,,King,6.4082,119.8108,119.8108,9,8,7,6,145,3,3,2.1,4.3,3.5,M113168034L,26333,3673,47.43,-1.05,8.87,0.62,M141478563R,14.16,0.92,11.21,0.61,M154453455R,-16.09,-0.95,13.02,0.6,"M136762839L,M136756054L",NAC_DTM_KINGCRATER3,,,"Larger and northeastern of a pair of small pits divided by a ~2m-wide ridge.  The ridge does not appear to actually be a bridge- no light shows under it is low-Sun images (e.g. M113168034L), although slewed image M136756054L shows some illuminated terrain adjacent to the dividing ridge that is either an unexpectedly lit down-Sun slope, or light coming under a bridge.  Unlike King 1, the dividing ridge slumps down slightly in the middle.  King 3a appears to have an entrance ramp from the N corner, and possibly the entire NE rim.  There is a large PRF ~60m N, a ~75m-long fracture with 15m-wide pit ~100m NW, and a long fracture that cuts across the PRF ~280m NW.",Y,?,Y,Y,Y,N,N,N,N,N,N
King 3b,Impact Melt,,King,6.4081,119.8105,119.8105,9,9,6,4,160,6,6,5.6,8.2,5.2,M1135766659R,25414,467,28.9,-0.09,10.13,1.17,M141478563R,14.16,0.93,11.21,0.61,M154453455R,-16.09,-0.94,13.02,0.6,"M136762839L,M136756054L",NAC_DTM_KINGCRATER3,,,Smaller and southeastern of a pair of pits separated by a ridge that is probably not a bridge.,N,?,Y,Y,Y,N,N,N,N,N,N
King 4a,Impact Melt,,King,6.2066,119.7815,119.7815,28,22,20,16,55,6,6,7.2,5.5,5.8,M141478563R,29532,3667,14.08,1.83,11.21,0.61,M113168034R,47.43,-0.21,8.87,0.62,M182745931L,-48.27,1.82,15.21,1.27,"M136762839L,M136756054L",NAC_DTM_KINGCRATER3,,Depth 1 is extremely high-Sun,"Elliptical pit, northeastern and larger of a pair of pits in a PRF.  N wall has a collapse that has a chance of being traversable, especially if bouldering is acceptable.  King 4b is 20m west, and there is a 45m long linear depression with a pair of <5m pits in it ~200m to the SW.  There is a very fresh crater with bright ejecta ~120m west.  No obvious proof that King 4a and 4b connect underground.  There is probably another collapse in the east side of this PRF, ~20m SE of King 4a, only expressed as curved cliff on the west side of a circular depression.  While no images exist with the correct lighting and slew to verify an overhang under the highest part of the PRF, a couple meters of overhang exist on the east (shallower) side.",N?,Y,Y,N,Y,Y,N,N,N,N,N
King 4b,Impact Melt,,King,6.2061,119.7804,119.7804,21,19,15,14,25,8,8,10,6,7.2,M141478563R,29558,3721,14.08,1.86,11.21,0.61,M113168034R,47.43,-0.18,8.87,0.62,M1135766659R,28.89,0.56,10.13,1.17,"M136762839L,M136756054L",NAC_DTM_KINGCRATER3,,Depth 1 is extremely high-Sun,Elliptical pit in the side of a PRF.  The floor slopes from N wall to the lowest point against the S wall.,Y,?,Y,N,Y,Y,N,N,N,N,N
