Name,Terrain,Type,Host Feature,Latitude,Longitude_180,Longitude_360,Funnel Max Diam,Funnel Min Diam,Inner Max Diam,Inner Min Diam,Azimuth,Depth,Depth_Num,Depth1,Depth2,Depth3,Image 1,Image 1 Line,Image 1 Sample,Inc 1,Em 1,Time 1,Res 1,Image 2,Inc 2,Em 2,Time 2,Res 2,Image 3,Inc 3,Em 3,Time 3,Res 3,Stereo IDs,DTM,Other Useful Images,Warnings,Description,Entrance Ramp?,Overhangs?,Nearby Pits?,Nearby Fractures?,Nearby Depressions?,In Dome?,Beside Dome?,In Depression?,Colinear Pits?,Colinear depressions?,Colinear Fractures?
King 20d,Impact Melt,,King,6.5142,119.9266,119.9266,23,11,19,7,25,5,5,4,4.6,5.5,M1131053889L,22321,3902,-27.59,0.93,13.76,1.17,M1181692437R,32.25,-0.14,9.89,1.23,M141478563L,14.13,-2.47,11.22,0.62,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M1164027461R, M108447638R",,"Long, sharp-rimmed pit 25m due north of 20c.",N,?,Y,Y,Y,N,N,N,Y,Y,Y
King 20e,Impact Melt,,King,6.5149,119.9298,119.9298,22,14,6,4,40,5,5,3.7,5.1,5.5,M1131053889L,22303,3980,-27.59,0.88,13.76,1.17,M1181692437R,32.25,-0.18,9.89,1.23,M141478563L,14.12,-2.57,11.22,0.62,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M1164027461R, M108447638R",Some depths may not be to floor.,"Small triangular pit at the NW base of a PRF, 80m ENE of 20d, slightly E of 20b's longitude.",N,?,Y,Y,Y,N,Y?,N,Y,Y,Y
King 20f,Impact Melt,,King,6.5153,119.9282,119.9282,21,11,10,5,35,5,5,6.1,3.6,6,M1131053889L,22281,3939,-27.59,0.9,13.76,1.17,M1181692437R,32.25,-0.16,9.89,1.23,M141478563L,14.12,-2.52,11.22,0.62,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M1164027461R, M108447638R",Some depths may not be to floor.,"Long, narrow pit 50m NE of 20d, 43m W of 20e, slightly W of 20b's longitude.",N,?,Y,Y,Y,N,N,N,Y,Y,Y
King 20g,Impact Melt,,King,6.5165,119.9304,119.9304,13,10,5,4,40,4,4,3,4.4,4,M1131053889L,22241,3997,-27.6,0.87,13.76,1.17,M1181692437R,32.25,-0.19,9.89,1.23,M141478563L,14.12,-2.58,11.22,0.62,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M1164027461R, M108447638R",Some depths may not be to floor.,"Irregular pit 45m NNE of 20e, 65m ENE of 20f.",N,?,Y,Y,Y,N,N,N,Y,Y,Y
King 20h,Impact Melt,Fracture,King,6.5183,119.9299,119.9299,13,7,6,2,30,>4,4,>2.5,>4,>5,M1131053889L,22169,3987,-27.6,0.87,13.76,1.17,M1181692437R,32.25,-0.18,9.89,1.23,M141478563L,14.12,-2.57,11.22,0.62,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,"M1164027461R, M108447638R",,"Round (zig-zag shaped with some steeply sloped walls?) pit in a 20m long fracture, 55m NNW of 20g.",N,?,Y,Y,Y,N,N,N,Y,Y,Y
King 21,Impact Melt,,King,6.517,119.9875,119.9875,19,14,15,9,125,5,5,6.3,4.5,5.5,M1120456952R,32326,2534,32.26,1.21,9.88,1.17,M106088433R,-35.37,-2.07,14.31,1.29,M182745931R,-48.5,-1.07,15.22,1.27,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,"Triangular pit.  The floor appears flat, and there appears to be a narrow (~1m wide) shelf halfway down the SE wall.  There are several short fractures nearby, tracing a line from NW to SE, with closest approach of that line (albeit with no surface expression) ~60m SW.  This pit is in flat ground, but the PRF containing King 31 is ~170m N.",N,?,Y,Y,Y,N,N,N,N,N,Y
King 22,Impact Melt,,King,6.4835,119.9941,119.9941,34,24,25,18,110,5,5,6.6,3.5,6,M1138120053R,16373,4621,56.37,2.48,8.26,1.18,M180387064L,-76.37,1.68,17.09,1.28,M1120456952R,32.25,1.09,9.88,1.17,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,M182745931R,Depth 2 is from lower E rim.,"Teardrop-shaped pit between two sets of fractures/fracture-associated pits (~40m N and ~180m S).  There are two small (~5m) depressions running W from the W end of this pit to the S corner of a triangular fracture-associated pit in the northern fracture, hinting at a connection. The floor is mostly flat, apparently sloping up in the western third, but does not quite reach the rim. No obvious PRFs, but there may be an extremely subtle (~3m high, ~50m wide) rise immediately to the E.  King 40 is ~180m SE.",Y,?,Y,Y,Y,Y?,Y?,N,N,N,N
King 23,Impact Melt,,King,6.3794,119.9019,119.9019,18,11,15,9,120,8,8,8.7,7.5,8,M1135766659L,26900,3021,28.81,-1.46,10.13,1.18,M1131053889L,-27.53,1.4,13.76,1.17,M1181692437R,32.25,0.17,9.88,1.23,"M128509025R,M128502237R",NAC_DTM_KINGCRATER3,,,"Diamond-shaped pit in a fairly flat area.  Floor is fairly flat with a couple boulders.  Slewed images suggest overhangs of a couple meters.  ~50m to the NW is a pair of shallow 60m wide depressions joined by a ~5m wide linear collapse, which is roughly in line with this pit; Starting ~160m E and winding N is a sinuous series of <5m probable pits joined by subtle depressions; ~150m N is a ~5x60m collapse that ends at the foot of a PRF.",N,Y?,Y,Y,Y,N,N,N,N,Y,Y
King 24a,Impact Melt,,King,6.3416,119.9914,119.9914,9,9,7,5,35,2,2,2.4,2,1.7,M1120456952R,25474,2279,32.23,1.05,9.88,1.17,M106088433R,-35.34,-2.13,14.31,1.29,M1138120053R,56.36,2.61,8.26,1.18,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,"Northernmost (and smallest) of a triplet of pits in a PRF.  This pit is near the top of the PRF.  King 24b (largest of the triplet) is ~40m SSW, and King 24c is ~70m S.  There are collapses at two ends of the PRF: ~220m SE, and ~170m SW, and there is a scattering of other small collapses, depressions, and possible tiny pits to the S.  King 30 is ~230m SSE.",N?,?,Y,Y,Y,Y,N,N,Y,N,N
King 24b,Impact Melt,,King,6.34,119.9907,119.9907,23,19,20,14,15,4,4,3.5,4.4,4.5,M1120456952R,25411,2295,32.23,1.06,9.88,1.17,M106088433R,-35.34,-2.12,14.31,1.29,M1131053889R,-27.61,0.08,13.77,1.17,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,"Center of a triplet of pits in a PRF.  This pit is near the top of the PRF, has a flat-looking floor with only a couple >1m boulders, and has no entrance ramp.",N,?,Y,Y,Y,Y,N,N,Y,N,N
